POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;PENAL BONUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10;COL_11
1;102;RODRIGO VARELA MATEUS MAZZEI Can-Am Maverick R Varela Can-Am Monster Energy Rally Team;02:15:52.78 (1);01:54:46.49 (1);02:08:24.38 (2);06:31:33.65;06:19:03.65;(1)UTU;* * * 00:12:30.00;;;;;;;;;;;
2;103;BRUNO VARELA ARI FIUZA Can-Am Maverick R Varela Can-Am Monster Energy Rally Team;02:18:18.71 (2);01:54:47.39 (2);02:08:16.77 (1);06:21:22.87;06:21:22.87 00:02:19.22;(2)UTU;* * * * * *;;;;;;;;;;;
3;108;JEAN AZEVEDO IDALI BOSSE Can-Am Maverick R T+A Rally Team;02:24:05.76 (8);01:55:34.00 (3);02:10:36.77 (3);06:30:16.53;06:30:16.53 00:11:12.88 00:08:53.66;(3)UTU;* * * * * *;;;;;;;;;;;
4;119;ANDRE HORT MARCELO RITTER Can-Am Maverick R Hps Racing;02:21:36.63 (3);02:01:19.89 (8);02:11:43.72 (5);06:34:40.24;06:34:40.24 00:15:36.59 00:04:23.71;(4)UTU;* * * * * *;;;;;;;;;;;
5;153;GABRIEL VARELA MICHAEL MASON Can-Am Maverick R Varela Can-Am Monster Energy Rally Team;02:26:51.75 (11);01:57:59.61 (4);02:12:12.41 (6);06:37:03.77;06:37:03.77 00:18:00.12 00:02:23.53;(1)UT1;* * * * * *;;;;;;;;;;;
6;104;TOMAS LUZA FLAVIO FRANCA Can-Am Maverick X3 Cotton Racing;02:22:58.08 (6);02:04:29.02 (13);02:12:26.00 (7);06:39:43.10;06:39:53.10 00:20:49.45 00:02:49.33;(5)UTU;00:00:10.00 * * *;;;;;;;;;;;
7;168;VINICIUS CASTRO LOURIVAL ROLDAN Polaris RZR Pro R C3 Racing / Territ?rio Motorsports;02:26:12.93 (10);01:59:07.22 (6);02:14:35.20 (9);06:39:49.35;06:39:55.35 00:20:51.70 00:00:02.25;(2)UT1;00:00:06.00 * * *;;;;;;;;;;;
8;110;JORGE WAGENFUHR GUSTAVO BORTOLANZA Can-Am Maverick R Lifesil / Mrp Performance;02:24:40.31 (9);02:00:22.57 (7);02:23:01.38 (28);06:48:04.26;06:48:04.26 00:29:00.61 00:08:08.91;(1)UOP;* * * * * *;;;;;;;;;;;
9;142;MARCOS MORAES FABIO PEDROSO Can-Am Maverick R Mem Motorsport;02:29:42.89 (20);02:05:33.45 (15);02:19:13.24 (18);06:54:29.58;06:54:29.58 00:35:25.93 00:06:25.32;(2)UOP;* * * * * *;;;;;;;;;;;
10;181;FILIPE ROCHA JOAO VICTOR Can-Am Maverick R Cotton Racing;02:27:41.74 (15);02:07:09.81 (20);02:20:09.15 (24);06:55:00.70;06:55:00.70 00:35:57.05 00:00:31.12;(6)UTU;* * * * * *;;;;;;;;;;;
11;123;REINALDO VARELA FABIO MACHADO Can-Am Maverick R Varela Can-Am Monster Energy Rally Team;02:30:10.80 (22);02:03:38.22 (12);02:23:20.61 (29);06:57:09.63;06:57:09.63 00:38:05.98 00:02:08.93;(3)UOP;* * * * * *;;;;;;;;;;;
12;146;MICHEL FALQUEIRO IGOR QUIRRENBACH Can-Am Maverick R Varela Can-Am Monster Energy Rally Team;02:27:10.13 (13);02:15:44.46 (33);02:14:38.95 (10);06:57:33.54;06:57:33.54 00:38:29.89 00:00:23.91;(3)UT1;* * * * * *;;;;;;;;;;;
;;;;;;;;;;39;157;FABIO BEAL OSMAR MENDONCA Can-Am Maverick R Four Rally Team;(3)UT3;02:27:53.91 (16);02:22:34.79 (39);05:20:00.00 (51);08:10:28.70;02:00:00.00 * * *;10:10:28.70 03:51:25.05 00:00:59.85;
;;;;;;;;;;40;111;THIAGO FRAGA FELIPE ECKEL Can-Am Maverick R DanGo Racing;(9)UTU;02:22:07.00 (4);05:40:00.00 (48);02:11:01.05 (4);07:42:08.05;02:31:00.00 * * *;10:13:08.05 03:54:04.40 00:02:39.35;
;;;;;;;;;;41;116;CONRADO MATSUMOTO ADEILTON SANTOS Can-Am Maverick R Cotton Racing;(10)UTU;02:28:14.94 (17);02:05:41.77 (16);05:50:00.00 (52);07:53:56.71;02:30:00.00 * * *;10:23:56.71 04:04:53.06 00:10:48.66;
;;;;;;;;;;42;109;LEONARDO BELEZA SOLON MENDES Polaris RZR Pro R Cotton Racing;(8)UT2;06:20:00.00 (53);02:05:05.20 (14);02:13:57.41 (8);07:39:02.61;03:00:00.00 * * *;10:39:02.61 04:19:58.96 00:15:05.90;
;;;;;;;;;;43;150;TOMAZ SANTOS JEFFINHO TEIXEIRA Can-Am Maverick X3 Thomriss / Hps;(1)U55;02:41:15.67 (42);02:10:04.85 (28);06:20:00.00 (53);08:05:20.52;03:06:00.00 * * *;11:11:20.52 04:52:16.87 00:32:17.91;
;;;;;;;;;;44;175;DENISIO CASARINI BRENO REZENDE Can-Am Maverick R Casarini Mrp;(11)UTU;02:23:58.89 (7);02:06:53.63 (18);06:50:00.00 (56);07:50:52.52;03:30:00.00 * * *;11:20:52.52 05:01:48.87 00:09:32.00;
;;;;;;;;;;45;133;LUIZ PARENTE RICARDO AMORIM Can-Am Maverick X3 Smart Rally Team;(2)U55;02:45:46.11 (46);06:10:00.00 (50);02:25:10.30 (36);08:20:56.41;03:00:00.00 * * *;11:20:56.41 05:01:52.76 00:00:03.89;
;;;;;;;;;;46;162;RICARDO SANTOS ROBSON SCHUINKA Can-Am Maverick R Hps Racing;(9)UT2;06:20:00.00 (53);02:12:11.65 (31);02:48:58.30 (47);08:21:09.95;03:00:00.00 * * *;11:21:09.95 05:02:06.30 00:00:13.54;
;;;;;;;;;;47;117;BRUNO CONTI JHONATAN ARDIGO Can-Am Maverick R Luppi Racing Team;(12)UTU;02:30:26.77 (23);06:40:00.00 (54);02:18:07.26 (15);07:56:34.03;03:32:00.00 * * *;11:28:34.03 05:09:30.38 00:07:24.08;
;;;;;;;;;;48;140;ISAAC AGUIAR ALFREDO MOOR Can-Am Maverick X3 Bontrack Utv;(10)UT2;02:33:18.99 (28);06:10:00.00 (50);02:47:55.22 (46);10:04:50.21;03:03:09.00 01:36:45.00;11:31:14.21 05:12:10.56 00:02:40.18;
;;;;;;;;;;49;163;JAMES PFUTZENREUTER JORGE PETERS Can-Am Maverick X3 Sbs Rally;(3)U55;02:48:10.34 (48);02:24:09.60 (40);06:20:00.00 (53);08:32:19.94;03:00:00.00 * * *;11:32:19.94 05:13:16.29 00:01:05.73;
;;;;;;;;;;50;171;GILLIAN SANTOS GEORGE MARTINS Polaris RZR Pro R Gc Rally Team;(4)UT3;02:50:48.58 (49);02:27:23.53 (43);06:20:00.00 (53);08:38:06.11;03:00:06.00 * * *;11:38:12.11 05:19:08.46 00:05:52.17;
;;;;;;;;;;51;167;FABIO TREGANCINI WELLINTON REZENDE Polaris RZR Pro R Cotton Racing;(5)UT3;02:28:50.06 (18);06:10:00.00 (50);03:00:10.49 (48);08:39:00.55;03:00:00.00 * * *;11:39:00.55 05:19:56.90 00:00:48.44;
;;;;;;;;;;52;147;JOSE SAWAYA MINAE EDNA MIYAUTI Can-Am Maverick R Cotton Racing;(11)UOP;02:51:14.88 (50);06:10:00.00 (50);02:43:32.36 (45);08:44:47.24;03:00:00.00 * * *;11:44:47.24 05:25:43.59 00:05:46.69;
;;;;;;;;;;53;165;PATRICK CELESKI VITOR FLEISCHMANN Can-Am Maverick X3 Piazito Racing;(6)UT3;02:53:05.63 (51);06:40:00.00 (54);02:27:52.71 (41);08:30:58.34;03:30:00.00 * * *;12:00:58.34 05:41:54.69 00:16:11.10;
;;;;;;;;;;54;107;PEDRO MAC DOWELL DANIEL SPOLIDORIO Can-Am Maverick R Qi Racing;(11)UT1;07:50:00.00 (56);01:58:46.11 (5);02:14:53.40 (11);07:33:39.51;04:30:00.00 * * *;12:03:39.51 05:44:35.86 00:02:41.17;
;;;;;;;;;;55;112;FABIO PIRONDI ENIO BOZZANO Can-Am Maverick R MRP Performance;(13)UTU;07:05:00.00 (55);05:40:00.00 (48);02:35:44.69 (44);09:05:44.69;06:15:00.00 * * *;15:20:44.69 09:01:41.04 03:17:05.18;
;;;;;;;;;;56;164;AUGUSTO RODRIGUES SAVIO AZEVEDO Polaris RZR Pro R Gc Rally Team;(7)UT3;07:50:00.00 (56);06:40:00.00 (54);03:03:19.32 (49);09:33:19.32;08:00:00.00 * * *;17:33:19.32 11:14:15.67 02:12:34.63;
;;;;;;;;;;57;101;DENISIO NASCIMENTO GUNNAR DUMS Can-Am Maverick R Bompack Racing;(14)UTU;02:22:42.95 (5);06:40:00.00 (54);10:40:00.00 (57);08:52:42.95;10:50:00.00 * * *;19:42:42.95 13:23:39.30 02:09:23.63;
;;;;;;;;;;58;130;RUI GENGNAGEL ANDRE VENSON Can-Am Maverick X3 Rodada Racing;;(11)UT2;07:50:00.00 (56);10:30:00.00 (58);10:40:00.00 (57);09:50:00.00;19:10:00.00 * * *;29:00:00.00 22:40:56.35 09:17:17.05
