NUM;PILOTO_INFO;TOTAL DIF.LIDER DIF.ANTERIOR;POS GERAL;CATEGORIA (POS);PE1 (POS) 64.47 KM;PE2 (POS) 64.47 KM;PE3 (POS) 64.47 KM;PE4 (POS) 64.47 KM;APURADO PENAL BONUS;COL_1;COL_2;COL_3;COL_8;COL_9;COL_10;COL_11;COL_12;COL_13;COL_15;COL_6;COL_7;COL_14;COL_16
Num;Piloto Navegador Veículo Equipe;TEMPO TOTAL Dif.Líder Dif. anterior;Pos Geral;Categoria (pos);PE1 (pos) 64.47 km;PE2 (pos) 64.47 km;PE3 (pos) 64.47 km;PE4 (pos) 64.47 km;Apurado Penal Bonus;;;;;;;;;;;;;;
128;BRUNO VARELA (SP) Can-Am Maverick R Varela Can-Am M. Energy;;1⁰;UTU (1°);00:57:59.04 (1°);00:57:54.75 (2°);00:57:29.37 (3°);00:57:42.82 (1°);;;;;;;;;;;;;;;
123;KAIQUE BENTIVOGLIO (SP) Polaris RZR Pro R Polaris One;03:53:21.68 +02:15.70 +00:48.24;3⁰;UT1 (1°);00:58:36.49 (4°);00:58:14.47 (4°);00:57:10.82 (1°);00:59:10.90 (6°);03:53:12.68 00:00:09 * * *;;;;;;;;;;;;;;
138;THIAGO TORRES (SP) EDUARDO SHIGA (SP) Can-Am Maverick R T+A Rally Team;03:56:51.47 +05:45.49 +00:36.77;5⁰;UTR (1°);00:59:52.08 (7°);00:59:37.96 (8°);00:58:48.75 (8°);00:58:32.68 (4°);03:56:51.47 * * * * * *;;;;;;;;;;;;;;
126;REINALDO VARELA (SP) TULIO TANIGUCHI (SP) Can-Am Maverick R Varela Can-Am M. Energy;03:59:35.51 +08:29.53 +00:17.55;7⁰;UTR (3°);01:00:43.42 (15°);00:59:56.13 (12°);00:59:33.40 (13°);00:59:22.56 (10°);03:59:35.51 * * * * * *;;;;;;;;;;;;;;
148;PARLEY FIAMONCINI (SC) Can-Am Maverick R 299 Racing;04:02:07.69 +11:01.71 +02:17.89;9⁰;UTU (4°);01:00:39.85 (14°);01:00:29.08 (18°);01:00:06.90 (17°);00:59:51.86 (13°);04:01:07.69 00:01:00 * * *;;;;;;;;;;;;;;
;;;;;;;;;;21⁰;151;ALLAN CESTARI (GO) WEIDNER MOREIRA () Polaris RZR Pro R Cotton Racing / Ghia Motorsports;U55 (2°);01:05:16.37 (28°);01:03:51.44 (30°);01:02:52.96 (27°);01:02:38.18 (23°);04:14:38.95 * * * * * *;04:14:38.95 +23:32.97 +00:46.65;;;;
;;;;;;;;;;22⁰ 155 HELENA DEYAMA (SP) 04:16:07.62 04:18:07.62 01:04:34.61 01:04:17.44 01:03:34.96 01:03:40.61 00:02:00 +27:01.64 UOP (2°) Can-Am Maverick R (27°) (32°) (28°) (26°) * * * +03:28.67 Rally Brasil Racing;;;;;;;;;;;;;
;;;;;;;;;;23⁰;153;ALBERTO CASTRO (BA) FRANCISCO ERINALDO () Polaris RZR Pro R C3 Racing;UTR (5°);01:05:25.43 (29°);01:03:52.12 (31°);01:06:49.95 (31°);01:03:27.49 (25°);04:19:34.99 00:00:06 * * *;04:19:40.99 +28:35.01 +01:33.37;;;;
;;;;;;;;;;24⁰ 108 RODRIGO MATSUMOTO (MS) 04:28:58.42 04:34:09.42 01:30:00.00 01:00:00.19 00:59:37.92 00:59:20.31 00:05:11 +43:03.44 UT3 (5°) Polaris RZR Pro R (34°) (14°) (14°) (9°) * * * +14:28.43 Cotton Racing;;;;;;;;;;;;;
;;;;;;;;;;25⁰;119;DANIEL TRECENTI (SP) Can-Am Maverick X3 Hps Racing;UTU (5°) HPS (5°);01:02:45.22 (23°);01:02:03.26 (22°);01:30:00.00 (34°);01:02:01.64 (20°);04:36:50.12 * * * * * *;04:36:50.12 +45:44.14 +02:40.70;;;;
;;;;;;;;;;26⁰ 157 JOSEF FEFFER (AC) 04:32:03.03 04:40:03.03 FABRICIO BIANCHINI (SP) 01:10:04.31 01:08:25.41 01:08:05.74 01:05:27.57 00:08:00 +48:57.05 UTR (6°) Can-Am Maverick R (33°) (34°) (32°) (27°) * * * +03:12.91 Bianchini Rally;;;;;;;;;;;;;
;;;;;;;;;;27⁰;131;MARCOS MIOTTO (SP) Can-Am Maverick R Dust Off Road;UTU (6°);01:00:12.25 (9°);01:05:38.95 (33°);01:06:37.97 (30°);01:05:57.04 (28°);04:18:26.21 00:30:00 * * *;04:48:26.21 +57:20.23 +08:23.18;;;;
;;;;;;;;;;28⁰ 147 IVAN KUHNEN (SC) 04:37:58.43 04:52:58.43 01:30:00.00 01:02:47.39 01:02:38.81 01:02:32.23 00:15:00 +01:01:52.45 UOP (3°) Can-Am Maverick R (35°) (27°) (26°) (22°) * * * +04:32.22 Vigifort Racing;;;;;;;;;;;;;
;;;;;;;;;;29⁰;122;DANIEL MASILI (SP) - Dust Off Road;U50 (1°);01:07:37.02 (31°);01:09:23.71 (35°);01:13:06.30 (33°);01:09:30.00 (30°);04:39:37.03 00:15:00 * * *;04:54:37.03 +01:03:31.05 +01:38.60;;;;
;;;;;;;;;;30⁰ 105 MARCUS COTTON (SP) 04:26:29.00 04:56:29.00 01:30:00.00 00:58:39.96 00:58:34.43 00:59:14.61 00:30:00 +01:05:23.02 UT1 (2°) Polaris RZR Pro R (36°) (5°) (7°) (7°) * * * +01:51.97 Cotton Racing / Polaris Factory Racing;;;;;;;;;;;;;
;;;;;;;;;;31⁰;142;RICARDO GALLI (SP) Can-Am Maverick R Cotton Racing;UT1 (3°);01:00:33.03 (12°);01:30:00.00 (37°);00:58:58.51 (10°);00:58:46.45 (5°);04:28:17.99 00:30:00 * * *;04:58:17.99 +01:07:12.01 +01:48.99;;;;
;;;;;;;;;;32⁰ 134 LEONARDO CASTRO (BA) 04:31:03.78 05:01:03.78 01:00:55.15 01:00:10.59 00:59:58.04 01:30:00.00 00:30:00 +01:09:57.80 UTR (7°) Can-Am Maverick R (16°) (17°) (16°) (34°) * * * +02:45.79 C3 Racing;;;;;;;;;;;;;
;;;;;;;;;;33⁰;112;JUNIOR SIQUEIRA (SP) Polaris RZR Pro R Cotton Racing;UT2 (2°);01:30:00.00 (37°);00:58:46.78 (6°);00:58:32.40 (6°);01:08:15.24 (29°);04:35:34.42 00:31:41 * * *;05:07:15.42 +01:16:09.44 +06:11.64;;;;
;;;;;;;;;;IV RALLY TERRA VERDE Resultados Oficiais - 07/12/2025 - 15:23 Acumulado - Geral UTV;;;;;;;;;;;;;
;;;;;;;;;;34⁰ 125 PEDRO BIANOR (MG) 04:58:30.79 05:13:30.79 00:58:41.76 00:59:49.03 01:30:00.00 01:30:00.00 00:15:00 +01:22:24.81 UT1 (4°) Can-Am Maverick R (5°) (9°) (35°) (35°) * * * +06:15.37 Forfun Racing;;;;;;;;;;;;;
;;;;;;;;;;35⁰;133;TOMAZ SANTOS (SP) JEFFERSON TEIXEIRA (PR) Can-Am Maverick X3 Hps Racing;01:02:58.23 (28°);01:30:00.00 (36°);01:30:00.00 (36°);05:06:34.39 00:30:00 * * *;;;;U55 (3°) HPS (6°);01:03:36.16 (26°);05:36:34.39 +01:45:28.41 +23:03.60;
;;;;;;;;;;36⁰ 101 GUILHERME CYSNE (SP) 04:58:42.88 05:43:42.88 00:59:52.53 00:58:50.35 01:30:00.00 01:30:00.00 00:45:00 +01:52:36.90 UTU (7°) Polaris RZR Pro R (8°) (7°) (37°) (37°) * * * +07:08.49 Gc Rally Team / Polaris Racing Brasil;;;;;;;;;;;;;
;;;;;;;;;;37⁰;109;IVAN FERREIRA (SP) Can-Am Maverick X3 Saframil Rally Team;01:09:35.93 (36°);01:30:00.00 (38°);01:20:51.35 (33°);05:08:05.61 01:00:00 * * *;;;;UT2 (3°);01:07:38.33 (32°);06:08:05.61 +02:16:59.63 +24:22.73;
;;;;;;;;;;38⁰ 152 RODRIGO BIANCHINI (SP) 05:34:07.98 08:54:07.98 FABIO ZELLER (SP) UDB (4°) 01:30:00.00 01:30:00.00 01:04:07.98 01:30:00.00 03:20:00 +05:03:02.00 Can-Am Maverick X3 HPS (7°) (38°) (38°) (29°) (38°) * * * +02:46:02.37 Hps Racing;;;;;;;;;;;;;
;;;;;;;;;;Supervisão Produção Apuração Supervisão Produção Apuração;;;;;;;Supervisão;;Produção;;;;Apuração
