# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado_Ate_Dia_6-Cat_Triton_Sport_R-Sertoes25-Of-v1.pdf
# INFO_GERAL: SERTOES PETROBRAS 03/08/2025 - 09:21:41 | Resultados Extra-Oficiais | Campeonato Brasileiro de Rally Raid 2025 | Categoria Triton Sport R | ACUMULADO ATÉ Dia 6: Petrolina/PE - Delmiro Gouveia/AL (1676.9km) | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;DIA 4;DIA 5;DIA 6;PENAL BONUS
1;367;JOSE CARLOS SCHORR (BRA) JOSE CARLOS BONDAN (BRA) MITSUBISHI L200 TRITON BERTOLINI RACING;05:08:05.94 (1);04:42:45.10 (2);05:44:14.46 (2);31:19:24.70;34:49:42.73;(1)TSR;06:06:34.84 (2);08:27:30.00 (1);04:40:32.39 (2);03:39:30.00 00:09:12.00
2;337;PAULO BERTOLINI (BRA) ANDERSON BERTOLINI (BRA) MITSUBISHI L200 TRITON BERTOLINI RACING;09:37:30.00 (2);04:32:57.29 (1);05:27:56.89 (1);30:09:43.70;43:56:24.70 09:06:41.97;(2)TSR;05:42:37.88 (1);14:30:00.00 (2);04:05:22.64 (1);13:47:30.00 00:00:49.00
