Distance,Speed,Throttle,Brake,RPM,nGear
0.5412918681703512,266.5499989333333,100.0,False,11003.574953955556,7
2.557500000000008,267.0,100.0,False,11023.0,7
6.297119755911291,267.50000128,100.0,False,11047.25006208,7
19.822444618527065,269.30000128,100.0,False,11134.55006208,7
28.88408472505008,270.50000128,100.0,False,11192.75006208,7
32.66861111111112,271.0,100.0,False,11217.0,7
45.57598148419994,272.82142994285715,100.0,False,11283.178621257142,7
53.97972222222223,274.0,100.0,False,11326.0,7
67.06834179055564,275.0591901951261,93.64485882924332,False,11279.925226512014,7
78.58972222222224,276.0,88.0,False,11239.0,7
85.25196144713995,270.9937536,56.2937728,False,11043.7563904,7
90.4563888888889,267.0,31.0,True,10888.0,7
93.97312964245985,263.4781296,26.2531312,True,10688.6315104,7
112.14527777777778,244.0,0.0,True,9586.0,7
115.14109881001043,235.4250112,0.0,True,9294.69538048,7
123.75638888888889,209.0,0.0,True,8397.0,7
128.36014810232783,200.30075394923497,0.0,True,8545.11024045405,7
142.59805555555556,170.0,0.0,True,9061.0,6
143.96809297861242,168.4999936,0.0,True,9119.125248,6
149.3707142999098,162.4999936,0.0,True,9351.625248,6
149.79805555555555,162.0,0.0,True,9371.0,6
159.24933133592026,140.1249888,0.0,True,9530.3750816,6
161.70916666666668,134.0,0.0,True,9575.0,4
164.87472970338723,129.4499968,0.0,True,9270.1497856,4
168.59805555555556,124.0,0.0,True,8905.0,3
175.49082756045934,119.91666417777778,0.0,True,8596.416478577778,3
180.29805555555555,117.0,0.0,False,8376.0,3
185.71287125930826,115.17857005714286,0.0,False,8296.464225828571,3
189.16472222222222,114.0,0.0,False,8245.0,3
199.2360797395888,110.69999872,24.7500096,False,8244.17499968,3
201.38694444444445,110.0,30.0,False,8244.0,3
204.1471877300714,111.1125024,33.3375072,False,8462.6067216,3
206.36472222222224,112.0,36.0,False,8637.0,3
214.03138888888893,115.0,59.0,False,8616.0,3
217.7956269683753,119.3214336,66.4642944,False,8964.8575488,3
