Distance,Speed,Throttle,Brake,RPM,nGear
0.03952021534932548,264.96666666666664,100.0,False,10790.65,6
9.226666666666665,266.0,100.0,False,10724.0,7
9.821216622483359,266.0857142857143,100.0,False,10728.057142857142,7
23.255007709822937,268.01428571428573,100.0,False,10819.342857142858,7
30.148888888888884,269.0,100.0,False,10866.0,7
36.83024293567834,269.74166613333335,100.0,False,10870.820829866667,7
48.21555555555555,271.0,100.0,False,10879.0,7
53.376052027961265,272.02,100.0,False,10906.2,7
63.43777777777777,274.0,100.0,False,10959.0,7
65.5755003121406,274.0,97.43333333333334,False,10963.55,7
81.70444444444445,274.0,78.0,False,10998.0,7
95.48286719668812,263.66,13.14,False,10705.66,7
96.31555555555556,263.0,9.0,True,10687.0,7
110.80575634927415,237.35,3.87,True,10155.19,7
120.53777777777778,218.0,0.0,True,9754.0,7
120.91893506020381,217.17499245714285,0.0,True,9756.675024457143,7
134.3418919054203,186.4142857142857,0.0,True,9856.414285714285,7
134.92666666666668,185.0,0.0,True,9861.0,6
142.81277058356517,171.0,0.0,True,9938.0,6
145.92666666666668,165.0,0.0,True,9971.0,6
152.43382818096825,150.06666666666666,0.0,True,9678.4,6
159.22666666666666,133.0,0.0,True,9344.0,4
160.9050612308458,131.531248,0.0,True,9399.812576,4
164.91555555555556,128.0,0.0,True,9534.0,3
166.57244847355292,126.2,0.0,True,9271.2,3
170.33777777777777,122.0,0.0,True,8658.0,3
173.22362993870047,120.28888888888889,0.7333333333333334,True,8607.888888888889,3
181.83777777777777,115.0,3.0,False,8453.0,3
185.19471020040157,113.8,5.1,False,8356.4,3
192.93777777777777,111.0,10.0,False,8131.0,3
194.40615469389434,110.8,15.6,False,8173.4,3
200.27111111111108,110.0,38.0,False,8343.0,3
201.12751199936216,110.14,41.08,False,8403.2,3
206.43777777777774,111.0,60.0,False,8773.0,3
206.69001452754367,111.25,60.15,False,8781.6,3
211.5933333333333,116.0,63.0,False,8945.0,3
217.01555555555552,122.0,69.0,False,9225.0,3
217.2945939347997,122.32,69.56,False,9254.04,3
224.23777777777775,130.0,83.0,False,9951.0,3
227.5945018156142,134.4,83.0,False,10074.2,3
232.01555555555552,140.0,83.0,False,10231.0,3
241.4588922892309,148.11388085156005,96.79359744765209,False,11074.03222047709,3
243.72388888888884,150.0,100.0,False,11270.0,3
250.74611111111108,158.0,100.0,False,10235.0,3
251.06414305823168,158.4812544,100.0,False,10249.875136,3
258.2572222222222,169.0,100.0,False,10575.0,4
259.5648216930002,169.93103650286415,100.0,False,10633.486020316284,4
274.2072222222222,180.0,100.0,False,11266.0,4
277.6598131727221,181.7,100.0,False,11509.1,4
282.385,184.0,100.0,False,11838.0,4
294.6148608803196,192.14285714285714,100.0,False,11190.642857142857,4
297.47388888888884,194.0,100.0,False,11043.0,4
306.4072222222222,201.0,100.0,False,10763.0,5
306.8611878425999,201.22857142857143,100.0,False,10777.057142857142,5
316.1570368473404,205.8285696,100.0,False,11059.9570304,5
322.66277777777776,209.0,100.0,False,11255.0,5
326.66468667757977,210.0625,100.0,False,11324.275,5
336.20456339113184,212.578124,100.0,False,11488.2936848,5
341.685,214.0,100.0,False,11581.0,5
349.5819993315326,216.9769216,100.0,False,11673.0364928,5
368.4830911551076,223.89999852307693,100.0,False,11887.07495433846,5
374.32944444444445,226.0,100.0,False,11952.0,5
386.6259572274115,231.3156232,100.0,False,11282.2314768,5
390.49280570616264,232.975,100.0,False,11073.15,5
395.21833333333336,235.0,100.0,False,10818.0,6
405.0252275770455,236.8624992,100.0,False,10879.4624736,6
405.7516666666667,237.0,100.0,False,10884.0,6
416.3738888888889,239.0,100.0,False,11110.0,6
426.3434580847481,241.64285714285714,100.0,False,11218.357142857143,6
435.3516666666667,244.0,100.0,False,11315.0,6
451.9516666666667,249.0,100.0,False,11415.0,6
453.8245049972371,249.1687488,100.0,False,11425.6311744,6
463.06277777777785,250.0,100.0,False,11478.0,6
471.93741476220316,251.1906256,99.6031248,False,11567.6937952,6
483.2815179333449,252.7,99.1,False,11681.4,6
485.55166666666673,253.0,99.0,False,11704.0,6
494.61229210464694,254.984376,99.0,False,11684.5531152,6
508.48500000000007,258.0,99.0,False,11655.0,6
510.4288604220046,258.1687488,99.0,False,11547.6757632,6
531.5961111111111,260.0,99.0,False,10383.0,7
532.1046552135944,260.07000064,99.01750016,False,10387.27003904,7
554.1254056853304,263.08,99.77,False,10570.88,7
560.9294444444445,264.0,100.0,False,10627.0,7
576.4520163715314,266.08,100.0,False,10716.44,7
