Distance,Speed,Throttle,Brake,RPM,nGear
0.5112430072534144,263.85304685808245,100.0,False,10598.630793030929,6
3.4755555555555553,265.0,100.0,False,10462.0,6
13.303714322706043,266.65,100.0,False,10567.6,6
27.386666666666663,269.0,100.0,False,10718.0,7
32.79100568838972,269.51428571428573,100.0,False,10732.142857142857,7
46.345331874563854,270.8,100.0,False,10767.5,7
48.46444444444444,271.0,100.0,False,10773.0,7
63.6311111111111,273.0,95.0,False,10798.0,7
72.01417307559377,270.5111111111111,65.44444444444444,False,10634.355555555556,7
90.1311111111111,265.0,0.0,False,10272.0,7
92.412105924081,262.4,0.0,False,10227.6,7
101.33111111111111,252.0,0.0,True,10050.0,7
112.4833263975562,237.72613728826883,0.0,True,9309.186525261151,7
116.86222222222221,232.0,0.0,True,9012.0,7
131.31974558016728,222.5392444590841,0.0,True,9123.952273900837,7
134.76777777777778,220.0,0.0,True,9154.0,7
145.5672699300561,181.2557995235887,0.0,True,9254.8579187005,7
151.64527777777778,157.0,0.0,True,9318.0,7
152.9330694165161,155.8374976,0.0,True,9163.516347733334,7
161.51194444444442,148.0,0.0,True,8122.0,4
166.24443801552735,132.4437424,0.0,True,7503.843448,4
167.24527777777777,129.0,0.0,True,7367.0,4
173.61392825124202,120.40499712,0.0,True,7278.18497024,4
173.91194444444443,120.0,0.0,True,7274.0,4
180.23009546468728,119.04499968,1.91000064,True,6922.55988224,4
180.52305555555554,119.0,2.0,False,6906.0,4
185.9731571398701,115.94642742857143,3.2214290285714284,False,6888.8999936,4
189.38972222222222,114.0,4.0,False,6878.0,4
195.37905522684167,112.93333333333334,12.0,False,6886.0,4
200.5897222222222,112.0,19.0,False,6893.0,4
200.89900676667003,112.0,19.833344,False,6902.9167936,4
208.05638888888888,112.0,39.0,False,7131.0,4
212.97374076214103,116.40416853333333,59.762508800000006,False,7316.604245333333,4
215.9897222222222,119.0,72.0,False,7426.0,4
218.43094084999913,121.74999497142858,78.99998719999999,False,7587.499704685714,4
226.10083333333333,130.0,100.0,False,8072.0,4
231.08370243521438,134.3333376,100.0,False,8306.722453333334,4
237.44753987458543,139.66667093333334,100.0,False,8595.611342222222,4
240.30083333333334,142.0,100.0,False,8722.0,4
253.9897222222222,154.0,100.0,False,9601.0,4
