# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado_Ate_D6-Geral_Motos-Sertoes25-Of-v1.pdf
# INFO_GERAL: SERTOES PETROBRAS 02/08/2025 - 21:09:28 | Resultados Oficiais | Campeonato Brasileiro Rally Raid 2025 | Geral - Motos e Quadriciclos | ACUMULADO ATÉ Dia 6: Petrolina/PE - Delmiro Gouveia/AL (1700.65km) | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;DIA 4;DIA 5;DIA 6;PENAL BONUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10;COL_11;COL_12;COL_13;COL_14
1;68;TOSHA SCHAREINA (ESP) HONDA CRF450 RALLY HONDA RACING;04:06:18.69 (2);03:48:56.38 (1);04:56:42.55 (1);25:25:39.18;25:19:03.18;(1)MT1;05:06:31.75 (1);03:53:59.48 (1);03:26:34.33 (1);00:00:33.00 00:07:09.00;;;;;;;;;;;;;;
2;5;GABRIEL BRUNING (BRA) YAMAHA WR 450F YAMAHA IMS RALLY TEAM;04:13:31.49 (6);03:56:33.05 (4);05:02:51.41 (5);26:19:42.16;26:07:26.16 00:48:22.98;(1)MT2;05:20:58.32 (7);03:58:52.66 (4);03:34:39.23 (3);* * * 00:12:16.00;;;;;;;;;;;;;;
3;22;GUILHERME BISSOTTO (BRA) YAMAHA WR 450F TXAI EXPERIENCE;04:31:32.24 (10);04:00:10.21 (6);05:08:00.57 (7);26:40:51.05;26:35:51.05 01:16:47.87 00:28:24.89;(2)MT2;05:16:21.31 (6);04:01:09.41 (5);03:38:37.31 (5);00:02:00.00 00:07:00.00;;;;;;;;;;;;;;
4;7;TIAGO WERNERSBACH (BRA) HONDA CRF 450RX HONDA RACING;04:19:23.03 (7);04:04:34.75 (8);05:06:44.30 (6);26:51:48.38;26:48:05.38 01:29:02.20 00:12:14.33;(1)MT3;05:15:24.74 (5);04:15:16.80 (24);03:46:41.76 (7);00:10:40.00 00:14:23.00;;;;;;;;;;;;;;
5;6;RICARDO MARTINS (BRA) YAMAHA TENERE 700 YAMAHA IMS BLU CRU RALLY TEAM;04:21:42.11 (8);04:03:45.35 (7);05:12:09.74 (8);26:55:13.50;26:48:15.50 01:29:12.32 00:00:10.12;(1)MOV;05:22:27.24 (8);04:01:54.85 (6);03:46:16.21 (6);00:00:12.00 00:07:10.00;;;;;;;;;;;;;;
6;8;LUCIANO GOMES (BRA) YAMAHA WR 450F YAMAHA IMS BLU CRU RALLY TEAM;04:37:34.40 (17);04:14:22.51 (10);05:15:04.20 (9);27:37:52.74;27:31:07.74 02:12:04.56 00:42:52.24;(2)MOV;05:29:07.71 (13);04:04:27.78 (8);03:50:31.14 (8);00:00:10.00 00:06:55.00;;;;;;;;;;;;;;
7;36;JOAO TORRES (BRA) GASGAS EC 500F TXAI EXPERIENCE;04:26:38.02 (9);04:15:14.97 (12);05:24:23.68 (17);27:37:15.42;27:45:09.42 02:26:06.24 00:14:01.68;(2)MT1;05:30:52.75 (15);04:03:54.73 (7);04:04:05.27 (11);00:14:45.00 00:06:51.00;;;;;;;;;;;;;;
8;15;MARCO PEREIRA (BRA) YAMAHA TX RALLY SELF / TXAI;04:34:27.12 (13);04:15:26.12 (13);05:21:39.92 (14);27:52:37.60;27:48:04.66 02:29:01.48 00:02:55.24;(3)MOV;05:27:17.64 (11);04:09:07.99 (10);04:00:05.87 (10);00:02:42.00 00:07:15.00;;;;;;;;;;;;;;
9;29;ALEXANDRE VALADARES (BRA) HONDA CRF 250F HONDA RACING;04:34:20.21 (12);04:16:58.12 (14);05:17:49.33 (11);27:52:59.20;27:51:55.22 02:32:52.04 00:03:50.56;(1)MBR;05:23:31.56 (9);04:14:39.67 (21);04:04:36.33 (13);00:06:00.00 00:07:04.00;;;;;;;;;;;;;;
10;3;MARTIN DUPLESSIS (ARG) HONDA CRF 450RX HONDA RACING;04:04:13.31 (1);03:52:48.36 (2);05:01:58.72 (4);26:45:57.43;27:58:47.43 02:39:44.25 00:06:52.21;(3)MT1;05:08:03.17 (3);06:20:00.00 (44);03:31:43.87 (2);01:30:00.00 00:17:10.00;;;;;;;;;;;;;;
