# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado-FGA-Cat_Rally_5-Nova_Italia25-Of-v2a.pdf
# INFO_GERAL: RALLY NOVA ITALIA 18/10/2025 - 18:00:00 | Resultados Oficiais | Campeonato Brasileiro e Gaucho de Rally de Velocidade 2025 | Categoria: Rally 5 | ACUMULADO ATÉ SS8: SS Odontotop / Mariano Moro 2 - (126.7km) | Campeonato Gaucho | Penal TOTAL

POS;NUM;PILOTO_INFO;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;PENAL BONUS
1;28;BERNARDO REUWSAAT (RS) SIDINEI BROERING (RS) VW UP Tsi Pro Tune Rally;01:31:02.84;01:31:02.84;(1)RC5;00:08:14.41 (1);00:11:34.89 (2);00:08:04.97 (1);00:11:29.15 (2);00:08:19.29 (3);00:11:51.77 (3);00:15:48.93 (1);00:15:39.43 (1);* * * * * *
NC;71;RUBENS TATIT (RS) MATEUS PERIN (RS) VW Gol Pampeiro Rally / Rallymark;;;(NC)RC5;00:08:35.66 (3);00:11:34.40 (1);00:08:15.09 (3);00:11:19.52 (1);00:07:57.74 (2);00:11:13.25 (2);00:15:50.69 (2);;* * * * * *
NC;40;CLAUDIO SARGINIESKI (RS) FRANCLI FUZINATTO (RS) Chevrolet Onix Boyka Racing;;;(NC)RC5;00:08:28.61 (2);00:14:42.10 (3);00:08:12.05 (2);00:11:33.38 (3);00:07:48.92 (1);00:11:04.32 (1);;;* * * * * *
