# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado-FGA-Cat_Rally_4-Nova_Italia25-Of-v2a.pdf
# INFO_GERAL: RALLY NOVA ITALIA 18/10/2025 - 18:00:00 | Resultados Oficiais | Campeonato Brasileiro e Gaucho de Rally de Velocidade 2025 | Categoria: Rally 4 | ACUMULADO ATÉ SS8: SS Odontotop / Mariano Moro 2 - (126.7km) | Campeonato Gaucho | Penal TOTAL

POS;NUM;PILOTO_INFO;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;PENAL BONUS
1;88;MARCOS VALANDRO (PR) ROBSON SCHUINKA (PR) Renault Clio 3 RS Rally Cascavel / Bemajjy Rally Team / Rally Center;01:36:36.73;01:36:36.73;(1)RC4;00:08:23.40 (2);00:11:45.55 (2);00:08:18.02 (2);00:11:43.26 (2);00:08:07.45 (2);00:11:24.19 (1);00:19:33.13 (2);00:17:21.73 (1);* * * * * *
2;246;EDUARDO KRETZCHMANN (RS) AMAXIMANDRO SILVA (RS) VW Gol RS Rallye;01:54:14.77;01:54:14.77 00:17:38.04;(2)RC4;00:10:35.68 (3);00:14:22.46 (3);00:10:11.84 (3);00:14:27.48 (3);00:10:17.83 (3);00:14:14.96 (2);00:20:37.89 (3);00:19:26.63 (2);* * * * * *
NC;210;BRUNO FOSCARINI (RS) FELIPE COSTA (RS) VW Gol Pense Rally;;;(NC)RC4;00:07:53.31 (1);00:11:22.32 (1);00:07:58.37 (1);00:11:10.82 (1);00:07:54.63 (1);00:19:14.96 (3);00:18:49.94 (1);;* * * * * *
NC;34;ALAN CARDOSO (RS) BRUNA GIARETTA (RS) Peugeot 207 Cardoso Rally Team;;;(NC)RC4;00:12:47.60 (4);;;;;;;;* * * * * *
