# EVENTO: Resultados Extra-Oficiais
# CAMPEONATO: Campeonato Brasileiro de Rally Raid 2025
# RELATORIO: Categoria Triton Sport R
# DATA_EMISSAO: ACUMULADO ATÉ Dia 6: Petrolina/PE - Delmiro Gouveia/AL (1676.9km)
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

POS;PILOTO_INFO;CAT;DIA 1;DIA 2;DIA 3;DIA 4;DIA 5;DIA 6;NO;COLUNA_4;COLUNA_5;COLUNA_10;COLUNA_14;COLUNA_16;TOTAL DIF.LIDER DIF.ANTERIOR;TEMPO;PENAL
1;"JOSE CARLOS SCHORR (BRA)
JOSE CARLOS BONDAN (BRA)
MITSUBISHI L200 TRITON
BERTOLINI RACING";(1)TSR;"05:08:05.94
(1)";"04:42:45.10
(2)";"05:44:14.46
(2)";"06:06:34.84
(2)";"08:27:30.00
(1)";"04:40:32.39
(2)";367;;;;;;34:49:42.73;31:19:24.70;"03:39:30.00
00:09:12.00"
2;"PAULO BERTOLINI (BRA)
ANDERSON BERTOLINI (BRA)
MITSUBISHI L200 TRITON
BERTOLINI RACING";(2)TSR;"09:37:30.00
(2)";"04:32:57.29
(1)";"05:27:56.89
(1)";"05:42:37.88
(1)";"14:30:00.00
(2)";"04:05:22.64
(1)";337;;;;;;"43:56:24.70
09:06:41.97";30:09:43.70;"13:47:30.00
00:00:49.00"
