# EVENTO: IV RALLY TERRA VERDE
# CAMPEONATO: Acumulado até PE4: Sao Carlos/SP (257,88 km)
# RELATORIO: Resultados Oficiais - 07/12/2025 - 14:47
# DATA_EMISSAO: Acumulado - Geral Motos
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

NUM;PILOTO_INFO;CAT;POS GERAL;COLUNA_4;COLUNA_5;COLUNA_6;COLUNA_7;COLUNA_8;PE1 (POS) 64.47 KM;PE2 (POS) 64.47 KM;PE3 (POS) 64.47 KM;PE4 (POS) 64.47 KM;COLUNA_15;TEMPO TOTAL DIF.LÍDER DIF. ANTERIOR;COLUNA_17;PENAL
22;"GUILHERME BISSOTTO (BA)
Yamaha WR 450F
Blu Cru";MT1 (1°);1⁰;;;;;;"01:01:12.75
(2°)";"01:00:06.72
(1°)";"00:59:36.87
(1°)";"01:00:16.86
(1°)";;;;
14;"LUIZ CUNHA (SP)
Honda CRF 450RX
Spot Racing";MT3 (1°);3⁰;;;;;;"01:07:54.50
(5°)";"01:17:56.73
(7°)";"01:08:34.22
(4°)";"01:09:04.98
(4°)";;"04:43:30.43
+42:17.23
+16:28.38";;"04:43:30.43
* * *
* * *"
35;"LUCAS ESPINDOLA (SC)
Honda CRF 250F
Mega Motos Honda";MRG (1°);5⁰;;;;;;"01:14:01.73
(8°)";"01:13:52.38
(5°)";"01:11:46.20
(6°)";"01:10:31.56
(6°)";;"04:50:11.87
+48:58.67
+02:57.31";;"04:50:11.87
* * *
* * *"
29;"NICOLAS RODRIGUEZ (RJ)
Yamaha YZ 250
Protech Racing";MT2 (2°);7⁰;;;;;;"01:00:39.68
(1°)";"01:30:00.00
(10°)";"01:00:50.86
(2°)";"01:00:27.34
(2°)";;"05:22:05.88
+01:20:52.68
+14:30.64";;"04:31:57.88
00:50:08
* * *"
34;"MATHEUS LAZARETI (SP)
Honda CRF 250F
Dust Rally Team";MBR (4°);9⁰;;;;;;"01:11:50.08
(6°)";"01:14:44.56
(6°)";"01:11:23.07
(5°)";"01:30:00.00
(9°)";;"06:05:37.71
+02:04:24.51
+33:36.64";;"05:07:57.71
00:57:40
* * *"
Produção;Apuração;;Supervisão;;;;;;;;;;;;;
