# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Combinado-Acumulado_Ate_D4-Cat_UTV-Tocantins25-Of-v1.pdf
# INFO_GERAL: SERTOES SERIES TOCANTINS 27/09/2025 - 14:52:55 | Resultados Oficiais | Campeonato Brasileiro Rally Raid 2025 | Geral - UTV | ACUMULADO ATÉ Dia 4: Dianopolis/TO - (862km) | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;DIA 4;PENAL BONUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10;COL_11;COL_12;PENAL BÔNUS
;;;;;;;;;;;12;140;LEONARDO CASTRO (BA) ROGERIO ALMEIDA (CE) Polaris RZR Pro R C3 Racing;(1)UT2;04:12:58.50 (20);02:31:16.63 (12);01:14:39.10 (14);03:14:41.79 (16);12:16:11.02;00:00:10.00 01:02:45.00;11:13:36.02 00:40:19.33 00:06:46.32;;
;;;;;;;;;;;13;154;SILMAR NOGUEIRA (BA) ALYSON ANTUNES (BA) Can-Am Maverick R Dango Racing;(3)UOP;04:13:49.11 (21);02:38:30.27 (20);01:18:14.89 (17);03:07:31.84 (13);12:10:11.11;00:07:52.00 00:59:57.00;11:18:06.11 00:44:49.42 00:04:30.09;;
;;;;;;;;;;;14;170;TOMAZ SANTOS (SC) JEFFERSON TEIXEIRA (SC) Can-Am Maverick R Hps Rally Team;(4)UOP;04:09:59.72 (19);02:40:43.76 (21);01:25:54.48 (19);03:11:38.28 (15);12:37:19.24;00:02:20.00 01:11:23.00;11:28:16.24 00:54:59.55 00:10:10.13;;
;;;;;;;;;;;15;156;RODRIGO BIANCHINI (SP) FABIO ZELLER (SP) Can-Am Maverick X3 Dango Racing;(2)UT2;04:09:23.66 (18);02:41:41.18 (22);01:21:08.26 (18);03:38:03.20 (18);12:53:11.30;00:00:20.00 01:03:15.00;11:50:16.30 01:16:59.61 00:22:00.06;;
;;;;;;;;;;;16;151;RUI GENGNAGEL (BA) ANDERSON GERALDI (GO) Can-Am Maverick X3 Rodada Racing;(3)UT2;04:02:32.45 (16);02:59:24.85 (23);01:41:56.18 (22);03:27:17.24 (17);13:13:06.72;00:02:00.00 01:03:56.00;12:11:10.72 01:37:54.03 00:20:54.42;;
;;;;;;;;;;;17;119;ANDRE HORT (SC) MARCELO RITTER (RS) Can-Am Maverick R Mh Racing;(8)UTU;03:52:44.71 (2);02:29:38.74 (9);01:11:09.70 (3);05:00:00.00 (19);12:35:51.15;01:00:00.00 01:02:18.00;12:33:33.15 02:00:16.46 00:22:22.43;;
;;;;;;;;;;;18;118;OTAVIO HORT (SC) IVO MAYER (SC) Can-Am Maverick R Mh Racing;(3)UT1;04:01:10.34 (14);02:33:29.66 (16);01:13:48.93 (11);05:30:00.00 (20);12:51:01.93;01:30:20.00 01:02:53.00;13:18:28.93 02:45:12.24 00:44:55.78;;
;;;;;;;;;;;19;104;TOMAS LUZA (BA) FLAVIO FRAN?A (RN) Can-Am Maverick R Cotton Racing;(9)UTU;03:55:19.99 (7);02:27:32.45 (3);04:00:00.00 (23);03:01:08.86 (5);12:56:38.30;01:30:00.00 01:02:37.00;13:24:01.30 02:50:44.61 00:05:32.37;;
;;;;;;;;;;;20;153;JAVIER OSVALDO (ARG) CLAUDIO RIESER (SP) Can-Am Maverick R Varela Can-Am Monster Energy;(10)UTU;06:00:00.00 (22);02:35:33.28 (17);01:39:38.24 (21);03:10:34.34 (14);13:27:23.86;01:00:20.00 01:01:58.00;13:25:45.86 02:52:29.17 00:01:44.56;;
;;;;;;;;;;;21;110;JORGE WAGENFUHR (PR) ENIO BOZZANO (SP) Can-Am Maverick R Lifesil / Mrp Performance;;(5)UOP;03:52:32.94 (1);02:28:31.85 (6);01:12:40.29 (7);06:30:00.00 (21);12:36:14.08;02:30:00.00 01:02:29.00;14:03:45.08 03:30:28.39 00:37:59.22;
;;;;;;;;;;;22;111;THIAGO FRAGA (SP) ALVARO AMARANTE (MG) Can-Am Maverick R Dango Racing;;(11)UTU;03:58:46.96 (10);02:31:35.06 (13);01:15:18.77 (16);06:30:00.00 (21);12:47:47.79;02:32:00.00 01:04:07.00;14:15:40.79 03:42:24.10 00:11:55.71;
;;;;;;;;;;;23;112;FABIO PIRONDI (SP) FABIO PEDROSO (SP) Can-Am Maverick R Mpr Performance;;(12)UTU;08:00:00.00 (23);02:29:57.78 (10);01:11:35.18 (4);06:30:00.00 (21);13:58:50.96;05:30:00.00 01:17:18.00;18:11:32.96 07:38:16.27 03:55:52.17;
1;102;RODRIGO VARELA (SP) MATHEUS MAZZEI (MG) Can-Am Maverick R Varela Can-Am Monster Energy;03:54:40.84 (4);02:26:56.83 (2);01:11:38.07 (4);11:36:00.69;10:33:16.69;;03:00:00.95 (3);;;;;;;;;;;;;;* * * 01:02:44.00
2;101;DENISIO DO NASCIMENTO (SC) GUNNAR DUMS (SC) Can-Am Maverick R Bompack Racing;03:52:54.72 (2);02:27:50.96 (4);01:13:00.25 (6);11:36:07.34;10:33:29.34 00:00:12.65;;02:59:43.41 (2);;;;;;;;;;;;;;* * * 01:02:38.00
3;103;BRUNO VARELA (SP) ARI FIUZA (CE) Can-Am Maverick R Varela Can-Am Monster Energy;03:56:35.11 (6);02:26:41.04 (1);01:11:53.77 (5);11:36:21.71;10:33:40.71 00:00:24.02 00:00:11.37;;02:58:30.79 (1);;;;;;;;;;;;;;* * * 01:02:41.00
4;107;PEDRO MAC DOWELL (SP) DANIEL SPOLIDORIO (SP) Can-Am Maverick R Qi Racing;03:54:29.80 (3);02:28:45.92 (5);01:10:57.22 (1);11:37:58.46;10:35:28.46 00:02:11.77 00:01:47.75;;03:01:15.52 (5);;;;;;;;;;;;;;00:00:20.00 01:02:50.00
5;144;VALENTINA FRANCIOSI (BA) EGON FRANCIOSI (BA) Can-Am Maverick R Cotton Racing;04:01:02.31 (9);02:31:02.26 (8);01:14:04.13 (8);11:50:33.67;10:50:09.67 00:16:52.98 00:14:41.21;;03:04:00.97 (6);;;;;;;;;;;;;;* * * 01:00:24.00
6;115;JOÃO FRANCIOSI (BA) MARCOS PANSTEIN (SC) Can-Am Maverick R Cotton Racing;04:01:03.00 (10);02:31:48.74 (10);01:13:55.70 (7);11:54:58.87;10:53:00.87 00:19:44.18 00:02:51.20;;03:06:13.43 (8);;;;;;;;;;;;;;00:01:10.00 01:03:08.00
7;181;FILIPE ROCHA (AL) JOÃO VICTOR RIBEIRO (GO) Can-Am Maverick R Cotton Racing;03:59:22.12 (8);02:37:59.52 (12);01:14:57.60 (9);11:57:05.64;10:56:39.64 00:23:22.95 00:03:38.77;;03:04:20.40 (7);;;;;;;;;;;;;;00:01:40.00 01:02:06.00
8;119;ANDRÉ HORT (SC) MARCELO RITTER (RS) Can-Am Maverick R Mh Racing;03:52:44.71 (1);02:29:38.74 (6);01:11:09.70 (2);12:35:51.15;12:33:33.15 02:00:16.46 01:36:53.51;;05:00:00.00 (10);;;;;;;;;;;;;;01:00:00.00 01:02:18.00
9;104;TOMAS LUZA (BA) FLAVIO FRANÇA (RN) Can-Am Maverick R Cotton Racing;03:55:19.99 (5);02:27:32.45 (3);04:00:00.00 (12);12:56:38.30;13:24:01.30 02:50:44.61 00:50:28.15;;03:01:08.86 (4);;;;;;;;;;;;;;01:30:00.00 01:02:37.00
;;;;;;;;;;;10;153;JAVIER OSVALDO (ARG) CLAUDIO RIESER (SP) Can-Am Maverick R Varela Can-Am Monster Energy;;06:00:00.00 (11);02:35:33.28 (11);01:39:38.24 (11);03:10:34.34 (9);13:27:23.86;01:00:20.00 01:01:58.00;13:25:45.86 02:52:29.17 00:01:44.56;;
;;;;;;;;;;;11;111;THIAGO FRAGA (SP) ALVARO AMARANTE (MG) Can-Am Maverick R Dango Racing;;03:58:46.96 (7);02:31:35.06 (9);01:15:18.77 (10);06:30:00.00 (11);12:47:47.79;02:32:00.00 01:04:07.00;14:15:40.79 03:42:24.10 00:49:54.93;;
;;;;;;;;;;;12;112;FABIO PIRONDI (SP) FABIO PEDROSO (SP) Can-Am Maverick R Mpr Desempenho;;08:00:00.00 (12);02:29:57.78 (7);01:11:35.18 (3);06:30:00.00 (11);13:58:50.96;05:30:00.00 01:17:18.00;18:11:32.96 07:38:16.27 03:55:52.17;;
1;175;VINICIUS CASTRO (BA) BRENO REZENDE (MG) Can-Am Maverick R C3 Racing;03:54:38.95 (1);02:28:50.04 (2);01:10:48.24 (1);11:37:43.85;10:35:01.85;;03:00:44.62 (1);;;;;;;;;;;;;;* * * 01:02:42.00
2;155;GABRIEL VARELA (SP) MICHAEL MASSON (PR) Can-Am Maverick R Varela Can-Am Monster Energy;03:56:53.53 (2);02:28:22.76 (1);01:13:13.48 (2);11:42:54.63;10:40:42.63 00:05:40.78;;03:02:12.86 (2);;;;;;;;;;;;;;00:00:30.00 01:02:42.00
3;118;OTAVIO HORT (SC) IVO MAYER (SC) Can-Am Maverick R Mh Racing;04:01:10.34 (3);02:33:29.66 (3);01:13:48.93 (3);12:51:01.93;13:18:28.93 02:43:27.08 02:37:46.30;;05:30:00.00 (3);;;;;;;;;;;;;;01:30:20.00 01:02:53.00
1;140;LEONARDO CASTRO (BA) ROGERIO ALMEIDA (CE) Polaris RZR Pro R C3 Racing;04:12:58.50 (3);02:31:16.63 (1);01:14:39.10 (1);12:16:11.02;11:13:36.02;;03:14:41.79 (1);;;;;;;;;;;;;;00:00:10.00 01:02:45.00
2;156;RODRIGO BIANCHINI (SP) FABIO ZELLER (SP) Can-Am Maverick X3 Dango Racing;04:09:23.66 (2);02:41:41.18 (2);01:21:08.26 (2);12:53:11.30;11:50:16.30 00:36:40.28;;03:38:03.20 (3);;;;;;;;;;;;;;00:00:20.00 01:03:15.00
3;151;RUI GENGNAGEL (BA) ANDERSON GERALDI (GO) Can-Am Maverick X3 Rodada Racing;04:02:32.45 (1);02:59:24.85 (3);01:41:56.18 (3);13:13:06.72;12:11:10.72 00:57:34.70 00:20:54.42;;03:27:17.24 (2);;;;;;;;;;;;;;00:02:00.00 01:03:56.00
1;126;RICARDO BASSO (BA) IRADI BIASUZ (BA) Can-Am Maverick R Dango Racing;04:05:11.02 (3);02:37:35.18 (3);01:13:02.03 (2);11:56:46.80;11:01:55.80;;03:06:07.57 (2);;;;;;;;;;;;;;00:07:50.00 01:02:41.00
2;141;LEANDRO MOKFA (PARA) GABRIEL DALL AGNOL (PARA) Can-Am Maverick R Dango Racing;04:01:12.13 (2);02:33:01.61 (2);01:27:27.06 (5);12:09:28.70;11:06:49.70 00:04:53.90;;03:05:08.90 (1);;;;;;;;;;;;;;00:00:16.00 01:02:55.00
3;154;SILMAR NOGUEIRA (BA) ALYSON ANTUNES (BA) Can-Am Maverick R Dango Racing;04:13:49.11 (5);02:38:30.27 (4);01:18:14.89 (3);12:10:11.11;11:18:06.11 00:16:10.31 00:11:16.41;;03:07:31.84 (3);;;;;;;;;;;;;;00:07:52.00 00:59:57.00
4;170;TOMAZ SANTOS (SC) JEFFERSON TEIXEIRA (SC) Can-Am Maverick R Hps Rally Team;04:09:59.72 (4);02:40:43.76 (5);01:25:54.48 (4);12:37:19.24;11:28:16.24 00:26:20.44 00:10:10.13;;03:11:38.28 (4);;;;;;;;;;;;;;00:02:20.00 01:11:23.00
5;110;JORGE WAGENFUHR (PR) ENIO BOZZANO (SP) Can-Am Maverick R Lifesil / Mrp Performance;03:52:32.94 (1);02:28:31.85 (1);01:12:40.29 (1);12:36:14.08;14:03:45.08 03:01:49.28 02:35:28.84;;06:30:00.00 (5);;;;;;;;;;;;;;02:30:00.00 01:02:29.00
