# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Dia_1-UTV-Serra_Azul-Of-v1.pdf
# INFO_GERAL: XI RALLY SERRA AZUL 31/08/2025 - 19:58:44 | Resultados Oficiais | Campeonato Brasileiro Rally Baja 2025 | Geral - UTV | ACUMULADO ATÉ PE2: Pardinho/SP - (160.07km) | Penal TOTAL

POS;NUM;PILOTO_INFO;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;PE1;PE2;PENAL BONUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10
;;;;;;;;;32;154;EDSON XUXA (SP) - Dust Rally Team;(3)U50;01:33:17.30 (35);01:26:02.47 (31);02:50:19.77;00:09:00.00 * * *;02:59:19.77 00:27:23.25 00:01:15.85;
;;;;;;;;;33;117;FABIO TREGANCINI (SP) Polaris RZR Pro R Cotton Racing;(5)UT3;01:42:51.81 (39);01:17:28.58 (8);02:30:10.39;00:30:10.00 * * *;03:00:20.39 00:28:23.87 00:01:00.62;
;;;;;;;;;34;147;RAQUEL STEIN (SP) Polaris RZR Pro R Msl Motorsport;(6)UT3;01:31:17.49 (33);01:30:49.02 (37);03:02:06.51;* * * * * *;03:02:06.51 00:30:09.99 00:01:46.12;
;;;;;;;;;35;157;LEANDRO KREY (RS) Can-Am Maverick R Rodatech Racing;(6)UT1;01:35:05.00 (36);01:31:04.14 (38);03:06:09.14;* * * * * *;03:06:09.14 00:34:12.62 00:04:02.63;
;;;;;;;;;36;159;GUILHERME GALLI (SP) Can-Am Maverick X3 Cotton Racing;(5)UT2;01:38:20.90 (37);01:29:05.56 (36);03:07:26.46;* * * * * *;03:07:26.46 00:35:29.94 00:01:17.32;
;;;;;;;;;37;144;LEONARDO ISHIZUKA (SP) Can-Am Maverick X3 Dust Rally Team;(4)U50;01:24:29.14 (27);01:47:36.00 (39);03:12:05.14;* * * * * *;03:12:05.14 00:40:08.62 00:04:38.68;
;;;;;;;;;38;149;PABLO DIAS (SP) Can-Am Maverick X3 Forfun Racing;;(7)UT3;01:55:20.91 (40);01:23:44.74 (28);02:48:05.65;00:31:00.00 * * *;03:19:05.65 00:47:09.13 00:07:00.51
;;;;;;;;;39;143;RICARDO SANTOS (PRT) ROBSON SCHUINKA (PR) Can-Am Maverick X3 Hps High Performance Ssv;;(5)UDB;01:21:59.18 (20);02:00:30.00 (40);03:21:59.18;00:00:30.00 * * *;03:22:29.18 00:50:32.66 00:03:23.53
;;;;;;;;;40;138;THIAGO TORRES (SP) Can-Am Maverick R T+A Rally Team;;(7)UTU;02:45:00.00 (43);01:21:34.08 (19);03:21:34.08;00:45:00.00 * * *;04:06:34.08 01:34:37.56 00:44:04.90
;;;;;;;;;41;101;GUILHERME CYSNE (SP) Polaris RZR Pro R Gc Rally Team / Peak Automotiva;;(8)UTU;01:17:33.30 (6);03:25:00.00 (41);03:17:33.30;01:25:00.00 * * *;04:42:33.30 02:10:36.78 00:35:59.22
;;;;;;;;;42;111;NUNO FOJO (SP) Polaris RZR Pro R Polaris Factory Racing Brasil / Cotton;;(7)UT1;02:00:15.00 (41);03:25:00.00 (41);04:00:00.00;01:25:15.00 * * *;05:25:15.00 02:53:18.48 00:42:41.70
;;;;;;;;;43;105;MARCUS COTTON (SP) Polaris RZR Pro R Cotton Racing / Polaris Factory Racing Brasil;;(8)UT1;02:15:00.00 (42);03:25:00.00 (41);04:00:00.00;01:40:00.00 * * *;05:40:00.00 03:08:03.48 00:14:45.00
;;;;;;;;;44;118;VANDERLEI RABI (SP) Polaris RZR Pro R Cotton Racing;;(6)UT2;02:45:00.00 (43);03:25:00.00 (41);04:00:00.00;02:10:00.00 * * *;06:10:00.00 03:38:03.48 00:30:00.00
;;;;;;;;;45;152;ANDRE SIQUEIRA (SP) LEONARDO DELLA MANA (SP) - Caca Leguas;;(1)UST;03:00:00.00 (45);03:25:00.00 (41);04:00:00.00;02:25:00.00 * * *;06:25:00.00 03:53:03.48 00:15:00.00
