# EVENTO: Resultados Oficiais
# CAMPEONATO: Campeonato Brasileiro de Rally Raid 2025
# RELATORIO: Geral - Motos
# DATA_EMISSAO: ACUMULADO ATÉ Dia 4: Dianopolis/TO - (862km)
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

POS;NUM;PILOTO_INFO;CAT;DIA 1;DIA 2;DIA 3;DIA 4;NO;COLUNA_4;COLUNA_8;COLUNA_11;COLUNA_13;TOTAL DIF.LIDER DIF.ANTERIOR;LARGADA;CHEGADA;PARC1 KM 25.41;PARC2 KM 53.69;PARC3 KM 80.00;PARC4 KM 114.52;PARC5 KM 133.59;PARC6 KM 167.02;PARC7 KM 186.98;COLUNA_14;COLUNA_17;TOTAL DIF. LIDER DIF ANTERIOR;VEL. MÉDIA;PARC1 KM 25,41;PARC2 KM 53,69;PARC3 KM 80,00;COLUNA_10;PARC4 KM 114,52;PARC5 KM 133,59;PARC6 KM 167,02;PARC7 KM 186,98;COLUNA_15;TOTAL DIF. LÍDER DIF ANTERIOR;COLUNA_5;COLUNA_18;COLUNA_16;TEMPO;PENAL
2;;"MARTIN DUPLESSIS (ARG)
HONDA CRF 450RX
Honda Racing";;;;;;3;;;;;;07:06:00;10:06:15.020;"00:20:41
(3)";"00:43:36
(2)";"00:58:47
(2)";"01:25:28
(1)";"01:41:07
(1)";"02:33:12
(1)";"02:51:07
(1)";;;"03:02:15.02
00:01:42.37";70.12;;;;;;;;;;;;;;03:00:15.02;"00:02:00
* * *"
3;;"GABRIEL SOARES (MG)
YAMAHA WR 450F
Yamaha Ims Rally Team";;;;;;4;;;;;;07:00:00;10:02:55.770;"00:20:39
(2)";"00:44:05
(3)";"00:59:54
(3)";"01:27:22
(3)";"01:42:35
(3)";"02:35:02
(3)";"02:53:10
(3)";;;"03:02:55.77
00:02:23.12
00:00:40.75";69.86;;;;;;;;;;;;;;03:02:55.77;"* * *
* * *"
4;;"ADRIEN METGE (FRA)
YAMAHA WR 450F
Yamaha Ims Rally Team";;;;;;1;;;;;;07:24:00;10:27:46.900;"00:21:10
(4)";"00:44:53
(4)";"01:00:32
(4)";"01:28:06
(4)";"01:43:43
(4)";"02:35:56
(4)";"02:54:13
(4)";;;"03:03:46.90
00:03:14.25
00:00:51.13";69.54;;;;;;;;;;;;;;03:03:46.90;"* * *
* * *"
1;11;"BRUNO CRIVILIN (MG)
HONDA CRF 450RX
Honda Racing";;;;;;;;;;;;07:04:00;10:04:23.910;;;;;;;;;;;70,07;"00:20:34
(1)";"00:43:42
(1)";"00:58:41
(1)";;"01:25:35
(1)";"01:40:37
(1)";"02:32:41
(1)";"02:51:15
(1)";;03:02:23.91;;;;03:00:23.91;"00:02:00
* * *"
2;22;"GUILHERME BISSOTTO (BA)
YAMAHA WR 450F
Dango Racing";;;;;;;;;;;;07:10:00;10:15:57.010;;;;;;;;;;;68;"00:21:36
(3)";"00:45:55
(3)";"01:02:27
(3)";;"01:29:51
(3)";"01:45:35
(3)";"02:37:44
(3)";"02:56:25
(3)";;"03:07:57.01
00:05:33.10";;;;03:05:57.01;"00:02:00
* * *"
3;5;"GABRIEL BRUNING (SC)
YAMAHA WR 450F
Yamaha Ims Rally Team";;;;;;;;;;;;07:08:00;10:13:16.510;;;;;;;;;;;66,47;"00:21:16
(2)";"00:45:22
(2)";"01:01:23
(2)";;"01:29:07
(2)";"01:45:14
(2)";"02:37:23
(2)";"02:55:55
(2)";;"03:12:16.51
00:09:52.60
00:04:19.50";;;;03:05:16.51;"00:07:00
* * *"
4;20;"MARCELO MEDEIROS (MA)
KTM 450 RALLY RÉPLICA
Meds Racing";;;;;;;;;;;;07:14:00;10:30:24.850;;;;;;;;;;;65,07;"00:22:12
(4)";"00:46:45
(4)";"01:03:59
(4)";;"01:32:59
(4)";"01:51:57
(4)";"02:46:15
(4)";"03:06:12
(4)";;"03:16:24.85
00:14:00.94
00:04:08.34";;;;03:16:24.85;"* * *
* * *"
5;39;"HENILTON ROQUE (TO)
GÁS GÁS EC 500
Aparecida Extreme";;;;;;;;;;;;07:16:00;10:37:33.650;;;;;;;;;;;62,78;"00:23:25
(5)";"00:49:47
(5)";"01:08:38
(5)";;"01:37:40
(5)";"01:56:43
(5)";"02:50:06
(5)";"03:10:31
(5)";;"03:23:33.65
00:21:09.74
00:07:08.80";;;;03:21:33.65;"00:02:00
* * *"
1;7;"TIAGO WERNERSBACH (ES)
HONDA CRF 450RX
Honda Racing";;;;;;;;;;;;07:12:00;10:20:11.720;;;;;;;;;;;67,91;"00:21:19
(1)";"00:45:46
(1)";"01:02:33
(1)";;"01:30:36
(1)";"01:46:50
(1)";"02:39:22
(1)";"02:58:17
(1)";;03:08:11.72;;;;03:08:11.72;"* * *
* * *"
2;54;"MOISÉS MARK (TO)
KTM 450 XC-F
Aparecida Extreme";;;;;;;;;;;;07:18:00;10:45:59.220;;;;;;;;;;;61,45;"00:25:04
(2)";"00:56:16
(2)";"01:14:00
(2)";;"01:42:33
(2)";"02:03:09
(2)";"02:56:50
(2)";"03:17:15
(2)";;"03:27:59.22
00:19:47.50";;;;03:27:59.22;"* * *
* * *"
1;;"LUCIANO GOMES (SC)
YAMAHA WR 450F
Yamaha Ims Rally Team";;;;;;8;;;;;;07:20:00;10:41:25.630;"00:23:37
(1)";"00:49:55
(1)";"01:09:31
(1)";"01:38:19
(1)";"01:57:19
(1)";"02:51:01
(1)";"03:11:02
(1)";;;03:21:25.63;63.45;;;;;;;;;;;;;;03:21:25.63;"* * *
* * *"
1;;"ALEXANDRE VALADARES (MG)
HONDA CRF 250F
Honda Racing";;;;;;29;;;;;;07:22:00;10:44:40.220;"00:23:46
(1)";"00:49:56
(1)";"01:09:43
(1)";"01:39:45
(1)";"01:59:19
(1)";"02:52:23
(1)";"03:12:04
(1)";;;03:22:40.22;63.06;;;;;;;;;;;;;;03:22:40.22;"* * *
* * *"
