# EVENTO: Resultados Extra-Oficiais
# CAMPEONATO: Campeonato Brasileiro Rally Baja 2025 Geral UTV - Dia 2
# RELATORIO: ACUMULADO ATÉ PE4: Bom Jesus da Lapa/BA - (316.13km)
# DATA_EMISSAO: 
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

POS;PILOTO_INFO;CAT;NO;COLUNA_4;COLUNA_6;PE3;PE4;COLUNA_9;COLUNA_11;TOTAL DIF.LIDER DIF.ANTERIOR;TEMPO;PENAL
25;"HELENA DEYAMA (SP)
Can-Am Maverick R
Rally Brasil Racing";"01:23:45.30
(30)";155;(2)UOP;"01:24:34.88
(26)";02:48:20;"* * *
* * *";"02:48:20
00:18:19
00:00:59";;;;
26;"IVAN FERREIRA (SP)
Can-Am Maverick X3
Saframil";"01:20:38.27
(20)";109;(3)UT2;"01:28:46.59
(31)";02:49:24;"* * *
* * *";"02:49:24
00:19:24
00:01:04";;;;
27;"EDSON XUXA (SP)
-
Dust Rally Team";"01:24:35.78
(34)";154;(1)U50;"01:25:50.14
(27)";02:50:25;"* * *
* * *";"02:50:25
00:20:25
00:01:01";;;;
28;"DANIEL MASILI (SP)
Can-Am Maverick X3
Tecmin - Rato Racing";"01:25:24.42
(36)";122;(2)U50;"01:26:09.69
(28)";02:51:34;"* * *
* * *";"02:51:34
00:21:33
00:01:08";;;;
29;"LEONARDO ISHIZUKA (SP)
Can-Am Maverick X3
Dust Rally Team";"01:29:07.34
(38)";144;(3)U50;"01:27:19.13
(30)";02:56:26;"* * *
* * *";"02:56:26
00:26:26
00:04:52";;;;
30;"PABLO DIAS (SP)
Can-Am Maverick X3
Forfun Racing";"01:22:51.90
(29)";149;(5)UT3;"01:34:35.66
(34)";02:56:54;"00:00:33
* * *";"02:57:27
00:27:27
00:01:01";;;;
31;"MARCOS MIOTTO (SP)
Can-Am Maverick R
Dust Rally Team";"01:20:05.50
(18)";131;(7)UTU;"01:37:29.06
(36)";02:57:25;"00:00:09
* * *";"02:57:34
00:27:34
00:00:07";;;;
32;"RAQUEL STEIN (SP)
Polaris RZR Pro R
Msl Motorsport";"01:28:47.52
(37)";147;(6)UT3;"01:29:15.80
(32)";02:58:03;"* * *
* * *";"02:58:03
00:28:02
00:00:28";;;;
33;"GUNTER HINKELMANN (SP)
Polaris RZR Pro R
Msl Motorsport";(4)U50;137;;"01:40:05.36
(41)";"01:18:32.64
(12)";02:58:38;"* * *
* * *";;;"02:58:38
00:28:37
00:00:34";
34;"ANDRE SIQUEIRA (SP)
LEONARDO DELLA MANA (SP)
-
Caca Leguas";(1)UST;152;;"01:24:04.40
(31)";"01:35:39.58
(35)";02:59:43;"* * *
* * *";;;"02:59:43
00:29:43
00:01:05";
35;"LEANDRO KREY (RS)
Can-Am Maverick R
Rodatech Racing";(5)UT1;157;;"01:39:05.30
(40)";"01:27:11.59
(29)";02:56:16;"00:10:00
* * *";;;"03:06:16
00:36:16
00:06:32";
36;"JUNIOR SIQUEIRA (SP)
Polaris RZR Pro R
Cotton Racing / Polaris Racing Brasil";(4)UT2;112;;"01:38:33.68
(39)";"01:31:24.24
(33)";03:09:47;"00:00:10
* * *";;;"03:09:57
00:39:57
00:03:41";
37;"KAIQUE BENTIVOGLIO (SP)
Polaris RZR Pro R
Polaris One";(6)UT1;123;;"01:15:21.25
(2)";"02:15:00.00
(37)";03:15:21;"00:15:00
* * *";;;"03:30:21
01:00:20
00:20:23";
38;"PEDRO SIQUEIRA (AL)
RODRIGO HORN (SP)
-
Caca Leguas";(5)UDB;153;;"01:22:08.95
(27)";"02:30:00.00
(38)";03:22:08;"00:30:00
* * *";;;"03:52:08
01:22:08
00:21:47";
39;"FABIO TREGANCINI (SP)
Polaris RZR Pro R
Cotton Racing";(7)UT3;117;;"01:17:22.28
(8)";"02:45:00.00
(39)";03:16:40;"00:45:42
* * *";;;"04:02:22
01:32:21
00:10:13";
40;"GUILHERME GALLI (SP)
Can-Am Maverick X3
Cotton Racing";(5)UT2;159;;"01:21:25.43
(21)";"03:00:00.00
(40)";03:21:25;"01:00:00
* * *";;;"04:21:25
01:51:25
00:19:03";
41;"DANIEL TRECENTI (SP)
Can-Am Maverick X3
Hps High Performance Ssv";(6)UT2;119;;"01:24:50.81
(35)";"03:25:00.00
(41)";03:24:50;"01:25:00
* * *";;;"04:49:50
02:19:50
00:28:25";
42;"PEDRO BIANOR (MG)
Can-Am Maverick R
Forfun Racing";(7)UT1;125;;"02:15:00.00
(42)";"03:25:00.00
(41)";04:00:00;"01:40:00
* * *";;;"05:40:00
03:09:59
00:50:09";
43;"GUILHERME CYSNE (SP)
Polaris RZR Pro R
Gc Rally Team / Peak Automotiva";(8)UTU;101;;"02:30:00.00
(43)";"03:25:00.00
(41)";04:00:00;"01:55:00
* * *";;;"05:55:00
03:24:59
00:15:00";
44;"ALEXANDRE MARIANO (SP)
Can-Am Maverick R
Hps High Performance Ssv";(2)UTR;156;;"03:00:00.00
(44)";"03:25:00.00
(41)";04:00:00;"02:25:00
* * *";;;"06:25:00
03:54:59
00:30:00";
45;"NUNO FOJO (SP)
Polaris RZR Pro R
Polaris Factory Racing Brasil / Cotton";(8)UT1;111;;"03:25:00.00
(45)";"03:25:00.00
(41)";04:00:00;"02:50:00
* * *";;;"06:50:00
04:19:59
00:25:00";
