# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado_ate_D6-Geral_UTV-Sertoes25-ExOf-v2.pdf
# INFO_GERAL: SERTOES PETROBRAS 02/08/2025 - 20:33:02 | Resultados Oficiais | Campeonato Brasileiro Rally Raid 2025 | Geral - UTV | ACUMULADO ATÉ Dia 6: Petrolina/PE - Delmiro Gouveia/AL (1676.9km) | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;DIA 4;DIA 5;DIA 6;PENAL BONUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10;COL_11;COL_12;COL_13;COL_14
;;;;;;;;;;;;;15;118;OTAVIO HORT FILHO (BRA) IVO MAYER (BRA) CAN-AM MAVERICK R MH RACING;(3)UT1;04:15:23.33 (26);04:16:18.82 (42);05:07:13.49 (20);05:22:53.40 (31);04:01:42.98 (26);03:20:54.81 (16);26:31:29.83;* * * 00:07:03.00;26:24:26.83 01:12:37.51 00:14:22.82;
;;;;;;;;;;;;;16;143;MILTON JUNIOR (BRA) LEO MAGALH?ES (BRA) CAN-AM MAVERICK R BOX ADVENTURE;(4)UT1;04:20:20.37 (35);04:06:56.21 (26);05:08:13.34 (23);05:21:06.95 (26);04:00:22.07 (22);03:33:47.06 (33);26:37:43.00;00:00:03.00 00:07:00.00;26:30:46.00 01:18:56.68 00:06:19.17;
;;;;;;;;;;;;;17;144;VALENTINA FRANCIOSI (BRA) WELLINGTON REZENDE (BRA) POLARIS RZR PRO R COTTON RACING;(2)UT2;04:10:45.92 (17);04:44:19.84 (51);05:02:12.84 (8);05:16:45.17 (19);03:58:52.47 (13);03:24:46.84 (22);26:44:25.08;* * * 00:06:42.00;26:37:43.08 01:25:53.76 00:06:57.08;
;;;;;;;;;;;;;18;178;RICARDO SANTOS (BRA) ROBSON SCHUINKA (BRA) CAN-AM MAVERICK R HPS - HIGH PERFORMANCE SSV;(11)ULT;04:17:56.87 (30);04:03:57.43 (22);05:09:30.48 (27);05:27:39.36 (40);04:02:28.79 (27);03:39:02.84 (37);26:47:25.77;* * * 00:06:50.00;26:40:35.77 01:28:46.45 00:02:52.69;
;;;;;;;;;;;;;19;170;MARCOS FINATO (BRA) GUILHERME HOLANDA (BRA) CAN-AM MAVERICK R BIANCHINI RALLY;(2)UOP;04:20:05.47 (33);04:07:24.58 (29);05:08:51.67 (25);05:27:19.19 (39);04:05:46.16 (37);03:32:32.22 (31);26:48:31.29;00:00:20.00 00:06:52.00;26:41:59.29 01:30:09.97 00:01:23.52;
;;;;;;;;;;;;;20;167;CLAUDIO SALOMAO (BRA) ALFREDO MOOR (BRA) CAN-AM MAVERICK R VARELA RALLY TEAM;(12)ULT;04:23:22.39 (38);04:02:26.77 (18);05:13:43.66 (36);05:24:21.31 (33);04:06:38.59 (39);03:31:37.64 (28);26:50:45.36;* * * 00:08:35.00;26:42:10.36 01:30:21.04 00:00:11.07;
;;;;;;;;;;;;;21;138;RODRIGO VILHENA (BRA) PAULO MEDINA (BRA) CAN-AM MAVERICK R DANGO RACING;(5)UT1;04:26:00.56 (42);04:04:16.75 (24);05:21:00.60 (42);05:21:13.61 (27);04:03:59.75 (31);03:28:26.90 (27);26:47:42.17;00:04:20.00 00:07:04.00;26:44:58.17 01:33:08.85 00:02:47.81;
;;;;;;;;;;;;;22;161;NADIMIR KAYSER (BRA) FILIPE BIANCHINI (BRA) CAN-AM MAVERICK X3 CHICO RACING;(1)U50;04:15:29.61 (27);04:08:57.85 (35);05:12:58.96 (35);05:25:11.20 (34);04:10:24.77 (46);03:32:23.20 (30);26:52:20.59;* * * 00:06:55.00;26:45:25.59 01:33:36.27 00:00:27.42;
;;;;;;;;;;;;;23;140;LEONARDO CASTRO (BRA) ROGERIO ALMEIDA (BRA) POLARIS RZR PRO R C3 RACING;(3)UT2;04:34:47.49 (49);04:09:45.53 (37);05:03:39.68 (12);05:40:26.22 (48);04:00:40.18 (23);03:19:56.79 (14);26:54:28.89;00:01:30.00 00:06:43.00;26:49:15.89 01:37:26.57 00:03:50.30;
;;;;;;;;;;;;;24;139;YGOR MOURA (BRA) ARTHUR CARNEIRO (BRA) CAN-AM MAVERICK R VARELA RALLY TEAM;(3)UOP;04:14:51.34 (24);04:01:24.95 (15);05:03:16.41 (9);05:36:04.24 (45);04:13:15.33 (50);03:53:01.24 (38);27:07:35.51;00:01:23.00 00:07:05.00;27:01:53.51 01:50:04.19 00:12:37.62;
;;;;;;;;;;;;;25;221;DJALMA PIVETTA (BRA) RICARDO DALANEZE (BRA) CAN-AM MAVERICK IVECO USUAL RACING;(4)UOP;04:37:03.56 (53);04:18:35.06 (44);05:18:24.19 (40);05:29:57.10 (42);04:05:27.74 (36);03:37:10.36 (35);27:33:18.01;00:02:01.00 00:08:41.00;27:26:38.01 02:14:48.69 00:24:44.50;
;;;;;;;;;;;;;26;135;MICHEL FALQUEIRO (BRA) IGOR QUIRRENBACH (BRA) CAN-AM MAVERICK R VARELA RALLY TEAM;(6)UT1;05:53:19.00 (57);04:00:57.02 (14);05:04:25.54 (15);05:15:20.45 (16);03:59:49.23 (16);03:24:42.67 (21);27:29:04.91;00:30:00.00 00:20:31.00;27:38:33.91 02:26:44.59 00:11:55.90;
;;;;;;;;;;;;;27;156;RODRIGO BIANCHIN (BRA) FABIO ZELLER (BRA) CAN-AM MAVERICK R DANGO RACING;(4)UT2;04:36:26.51 (51);04:29:01.99 (47);05:38:27.10 (49);05:25:53.87 (36);04:12:35.98 (49);03:31:57.34 (29);28:01:06.70;* * * 00:06:44.00;27:54:22.79 02:42:33.47 00:15:48.88;
