# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Combinado-Acumulado_Ate_D4-Cat_Motos-Tocantins25-Of-v1.pdf
# INFO_GERAL: SERTOES SERIES TOCANTINS 27/09/2025 - 13:43:06 | Resultados Oficiais | Campeonato Brasileiro de Rally Raid 2025 | Geral - Motos | ACUMULADO ATÉ Dia 4: Dianopolis/TO - (862km) | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;DIA 4;PENAL BONUS;COL_1;COL_2;COL_3;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10;COL_11;COL_12;LARGADA;CHEGADA;PARC1 KM 25.41;PARC2 KM 53.69;PARC3 KM 80.00;PARC4 KM 114.52;PARC5 KM 133.59;PARC6 KM 167.02;PARC7 KM 186.98;VEL. MÉDIA;PARC1 KM 25,41;PARC2 KM 53,69;PARC3 KM 80,00;PARC4 KM 114,52;PARC5 KM 133,59;PARC6 KM 167,02;PARC7 KM 186,98;PENAL BÔNUS
;;;;;;;;;;;11;3;MARTIN DUPLESSIS (ARG) HONDA CRF 450RX Honda Racing;(4)MT1;03:52:35.57 (1);06:00:00.00 (12);01:11:48.26 (4);03:02:15.02 (2);13:04:38.85;01:02:00.00 * * *;14:06:38.85 03:31:16.60 01:04:53.44;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;12;11;BRUNO CRIVILIN (MG) HONDA CRF 450RX Honda Racing;(5)MT2;07:15:00.00 (13);02:55:33.42 (10);01:11:21.32 (3);03:02:23.91 (3);13:04:09.65;02:17:00.00 00:56:51.00;14:24:18.65 03:48:56.40 00:17:39.80;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;13;7;TIAGO WERNERSBACH (ES) HONDA CRF 450RX Honda Racing;(2)MT3;04:06:17.73 (7);07:30:00.00 (13);01:15:54.13 (7);03:08:11.72 (7);13:25:23.58;02:35:00.00 * * *;16:00:23.58 05:25:01.33 01:36:04.93;;;;;;;;;;;;;;;;;;
1;23;ROMAIN DUMONTIER (FRA) HONDA CRF 450RX Honda Racing;;;;03:00:32.65;03:00:32.65;;;* * * * * *;;;;;;;;;;;;07:02:00;10:02:32.650;00:20:16 (1);00:43:20 (1);00:58:30 (1);01:25:45 (2);01:41:17 (2);02:33:30 (2);02:51:27 (2);70.79;;;;;;;;
2;3;MARTIN DUPLESSIS (ARG) HONDA CRF 450RX Honda Racing;;;;03:00:15.02;03:02:15.02 00:01:42.37;;;00:02:00 * * *;;;;;;;;;;;;07:06:00;10:06:15.020;00:20:41 (3);00:43:36 (2);00:58:47 (2);01:25:28 (1);01:41:07 (1);02:33:12 (1);02:51:07 (1);70.12;;;;;;;;
3;4;GABRIEL SOARES (MG) YAMAHA WR 450F Yamaha Ims Rally Team;;;;03:02:55.77;03:02:55.77 00:02:23.12 00:00:40.75;;;* * * * * *;;;;;;;;;;;;07:00:00;10:02:55.770;00:20:39 (2);00:44:05 (3);00:59:54 (3);01:27:22 (3);01:42:35 (3);02:35:02 (3);02:53:10 (3);69.86;;;;;;;;
4;1;ADRIEN METGE (FRA) YAMAHA WR 450F Yamaha Ims Rally Team;;;;03:03:46.90;03:03:46.90 00:03:14.25 00:00:51.13;;;* * * * * *;;;;;;;;;;;;07:24:00;10:27:46.900;00:21:10 (4);00:44:53 (4);01:00:32 (4);01:28:06 (4);01:43:43 (4);02:35:56 (4);02:54:13 (4);69.54;;;;;;;;
1;11;BRUNO CRIVILIN (MG) HONDA CRF 450RX Honda Racing;;;;03:00:23.91;03:02:23.91;;;;;;;;;;;;;;;07:04:00;10:04:23.910;;;;;;;;70,07;00:20:34 (1);00:43:42 (1);00:58:41 (1);01:25:35 (1);01:40:37 (1);02:32:41 (1);02:51:15 (1);00:02:00 * * *
2;22;GUILHERME BISSOTTO (BA) YAMAHA WR 450F Dango Racing;;;;03:05:57.01;03:07:57.01 00:05:33.10;;;;;;;;;;;;;;;07:10:00;10:15:57.010;;;;;;;;68;00:21:36 (3);00:45:55 (3);01:02:27 (3);01:29:51 (3);01:45:35 (3);02:37:44 (3);02:56:25 (3);00:02:00 * * *
3;5;GABRIEL BRUNING (SC) YAMAHA WR 450F Yamaha Ims Rally Team;;;;03:05:16.51;03:12:16.51 00:09:52.60 00:04:19.50;;;;;;;;;;;;;;;07:08:00;10:13:16.510;;;;;;;;66,47;00:21:16 (2);00:45:22 (2);01:01:23 (2);01:29:07 (2);01:45:14 (2);02:37:23 (2);02:55:55 (2);00:07:00 * * *
4;20;MARCELO MEDEIROS (MA) KTM 450 RALLY RÉPLICA Meds Racing;;;;03:16:24.85;03:16:24.85 00:14:00.94 00:04:08.34;;;;;;;;;;;;;;;07:14:00;10:30:24.850;;;;;;;;65,07;00:22:12 (4);00:46:45 (4);01:03:59 (4);01:32:59 (4);01:51:57 (4);02:46:15 (4);03:06:12 (4);* * * * * *
5;39;HENILTON ROQUE (TO) GÁS GÁS EC 500 Aparecida Extreme;;;;03:21:33.65;03:23:33.65 00:21:09.74 00:07:08.80;;;;;;;;;;;;;;;07:16:00;10:37:33.650;;;;;;;;62,78;00:23:25 (5);00:49:47 (5);01:08:38 (5);01:37:40 (5);01:56:43 (5);02:50:06 (5);03:10:31 (5);00:02:00 * * *
1;7;TIAGO WERNERSBACH (ES) HONDA CRF 450RX Honda Racing;;;;03:08:11.72;03:08:11.72;;;;;;;;;;;;;;;07:12:00;10:20:11.720;;;;;;;;67,91;00:21:19 (1);00:45:46 (1);01:02:33 (1);01:30:36 (1);01:46:50 (1);02:39:22 (1);02:58:17 (1);* * * * * *
2;54;MOISÉS MARK (TO) KTM 450 XC-F Aparecida Extreme;;;;03:27:59.22;03:27:59.22 00:19:47.50;;;;;;;;;;;;;;;07:18:00;10:45:59.220;;;;;;;;61,45;00:25:04 (2);00:56:16 (2);01:14:00 (2);01:42:33 (2);02:03:09 (2);02:56:50 (2);03:17:15 (2);* * * * * *
1;8;LUCIANO GOMES (SC) YAMAHA WR 450F Yamaha Ims Rally Team;;;;03:21:25.63;03:21:25.63;;;* * * * * *;;;;;;;;;;;;07:20:00;10:41:25.630;00:23:37 (1);00:49:55 (1);01:09:31 (1);01:38:19 (1);01:57:19 (1);02:51:01 (1);03:11:02 (1);63.45;;;;;;;;
1;29;ALEXANDRE VALADARES (MG) HONDA CRF 250F Honda Racing;;;;03:22:40.22;03:22:40.22;;;* * * * * *;;;;;;;;;;;;07:22:00;10:44:40.220;00:23:46 (1);00:49:56 (1);01:09:43 (1);01:39:45 (1);01:59:19 (1);02:52:23 (1);03:12:04 (1);63.06;;;;;;;;
