# EVENTO: Resultados Oficiais
# CAMPEONATO: Campeonato Brasileiro Rally Raid 2025
# RELATORIO: Geral - Motos e Quadriciclos
# DATA_EMISSAO: ACUMULADO ATÉ Dia 6: Petrolina/PE - Delmiro Gouveia/AL (1700.65km)
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

POS;PILOTO_INFO;CAT;DIA 1;DIA 2;DIA 3;DIA 4;DIA 5;DIA 6;NO;COLUNA_4;COLUNA_9;COLUNA_13;COLUNA_15;TOTAL DIF.LIDER DIF.ANTERIOR;TEMPO;PENAL
16;"JOAO FORNAZARI (BRA)
GASGAS RALLY REPLICA
DM WORKSHOP";"04:36:12.69
(15)";"04:19:10.36
(17)";"05:23:40.99
(16)";"05:50:32.99
(27)";"04:08:27.73
(17)";28:59:36.80;"00:00:31.00
00:28:57.00";12;(6)MT2;"04:13:06.07
(18)";"28:31:10.83
03:12:07.65
00:10:20.32";;;;
17;"FLAVIANO TIEPO (BRA)
YAMAHA WR 450F
YAMAHA IMS BLU CRU RALLY TEAM";"04:48:51.95
(23)";"04:19:56.50
(18)";"05:25:11.11
(18)";"05:30:21.59
(14)";"04:12:57.54
(19)";28:35:25.80;"00:03:57.00
00:07:22.00";46;(2)MT3;"04:14:42.18
(22)";"28:32:00.87
03:12:57.69
00:00:50.04";;;;
18;"RODRIGO SALLUM (BRA)
KTM 450 RALLY REPLICA
DM WORKSHOP";"04:45:41.24
(20)";"04:26:41.48
(22)";"05:17:23.20
(10)";"05:39:26.76
(21)";"04:13:05.17
(20)";28:31:28.80;"00:09:48.00
00:06:59.00";28;(6)MT1;"04:12:00.04
(15)";"28:34:17.89
03:15:14.71
00:02:17.02";;;;
19;"MARCELO MEDEIROS (BRA)
YAMAHA RAPTOR 700R
MEDS RACING";"04:33:16.33
(11)";"04:29:59.83
(23)";"05:22:47.55
(15)";"05:34:34.06
(17)";"04:19:59.52
(23)";28:48:05.90;"* * *
00:07:00.00";61;(1)QDA;"04:20:28.63
(30)";"28:41:05.92
03:22:02.74
00:06:48.03";;;;
20;"MISAEL AMARIZ (BRA)
GASGAS EC 450F
TXAI EXPERIENCE";"04:51:20.97
(26)";"04:26:38.00
(21)";"05:47:49.09
(36)";"05:35:57.60
(20)";"04:05:55.97
(15)";29:07:04.80;"00:00:10.00
00:07:00.00";54;(3)MT3;"04:12:33.25
(16)";"29:00:14.88
03:41:11.70
00:19:08.96";;;;
21;"MOISES MARK (BRA)
KTM EXC 450F
TXAI EXPERIENCE";"04:48:03.25
(22)";"04:22:26.27
(19)";"05:44:53.35
(32)";"05:55:18.25
(32)";"04:07:32.54
(16)";28:50:50.40;"00:29:21.00
00:07:13.00";52;(4)MT3;"04:14:44.79
(23)";"29:12:58.45
03:53:55.27
00:12:43.57";;;;
22;"MICHEL ZUCHELLI (BRA)
HONDA CRF 450RX
SELF / TXAI";"04:47:41.76
(21)";"04:30:59.20
(24)";"05:32:50.94
(22)";"05:54:29.26
(31)";"04:26:07.44
(28)";29:36:04.30;"* * *
00:07:02.00";31;(5)MT3;"04:16:53.72
(27)";"29:29:02.32
04:09:59.14
00:16:03.87";;;;
23;"CESAR BOGO (BRA)
HUSQVARNA FE 501
BIANCHINI RALLY";"04:54:56.30
(30)";"04:45:16.43
(33)";"05:32:59.16
(23)";"05:46:22.14
(25)";"04:23:50.63
(26)";29:29:29.00;"00:16:32.00
00:08:32.00";51;(4)MOV;"04:14:04.38
(20)";"29:37:29.04
04:18:25.86
00:08:26.72";;;;
24;"FELIPE ROCHA (BRA)
KTM EXC 350F
SELF / TXAI";"04:58:54.65
(32)";"04:51:38.48
(36)";"05:46:04.78
(34)";"05:31:24.49
(16)";"04:25:29.62
(27)";29:25:10.20;"00:47:46.00
00:31:45.00";26;(6)MT3;"04:07:39.18
(9)";"29:41:11.20
04:22:08.02
00:03:42.16";;;;
25;"MOARA SACILOTTI (BRA)
KAWASAKI KX 450X
PODUIM RACING";"04:51:00.12
(25)";"04:41:15.88
(31)";"05:40:01.75
(27)";"05:51:40.48
(29)";"04:20:24.76
(24)";29:50:46.10;"* * *
00:07:05.00";25;(5)MOV;"04:19:18.19
(28)";"29:43:41.18
04:24:38.00
00:02:29.98";;;;
26;"PAULO ESCOBAR (BRA)
HONDA CRF 450RX
PODUIM RACING";"05:01:40.80
(34)";"04:37:06.20
(30)";"05:41:05.32
(28)";"05:59:13.46
(36)";"04:19:06.20
(22)";29:38:09.50;"00:23:51.00
00:10:34.00";55;(6)MOV;"04:13:14.56
(19)";"29:51:26.54
04:32:23.36
00:07:45.36";;;;
27;"JOAO RICARDO (BRA)
HONDA CRF 450RX
SELF / TXAI";"04:59:24.39
(33)";"04:45:39.43
(34)";"05:58:07.20
(39)";"05:53:15.56
(30)";"04:22:15.44
(25)";30:19:28.70;"00:21:00.00
00:22:13.00";53;(7)MT3;"04:19:33.77
(29)";"30:18:15.79
04:59:12.61
00:26:49.25";;;;
28;"RICARDO ZAPPELINI (BRA)
GASGAS RX 450F
DM WORKSHOP";"05:16:02.98
(42)";"04:53:15.07
(40)";"05:42:04.06
(30)";"05:51:12.31
(28)";"04:29:59.64
(31)";30:36:43.60;"00:04:00.00
00:07:16.00";32;(7)MOV;"04:20:53.62
(31)";"30:33:27.68
05:14:24.50
00:15:11.89";;;;
29;"ANDRE MOOR (BRA)
GASGAS 500 TC
DM WORKSHOP";"05:04:24.06
(36)";"04:52:58.79
(38)";"05:41:26.45
(29)";"05:56:58.10
(34)";"04:37:21.48
(35)";30:44:19.20;"00:01:13.00
00:08:23.00";19;(7)MT1;"04:24:00.34
(33)";"30:37:09.22
05:18:06.04
00:03:41.54";;;;
