POS;NUM;PILOTO_INFO;DIA 1;DIA 2;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;PENAL BONUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10
1;112;JUNIOR SIQUEIRA (SP) Polaris Rzr Pro R Cotton Racing/ Polaris Racing Brasil;01:32:34.77 (1);01:57:57.78 (3);03:54:53.55;03:30:32.55;(1)UT2;* * * 00:24:21.00;;;;;;;;;;
2;101;GUILHERME CYSNE (SP) Polaris Rzr Pro R Gc Rally Team / Peak Automotiva;01:33:21.03 (3);01:57:38.23 (1);03:55:34.26;03:30:59.26 00:00:26.71;(1)UTU;* * * 00:24:35.00;;;;;;;;;;
3;125;PEDRO BIANOR (MG) Can Am Maverick R Vn Maquinas;01:33:37.74 (5);01:57:41.42 (2);03:55:59.16;03:31:19.16 00:00:46.61 00:00:19.90;(1)UT1;* * * 00:24:40.00;;;;;;;;;;
4;111;NUNO FOJO (PRT) Polaris Rzr Pro R Polaris Factory Racing / Cotton Racing;01:33:18.37 (2);01:58:32.17 (6);03:57:07.54;03:31:50.54 00:01:17.99 00:00:31.38;(2)UT1;* * * 00:25:17.00;;;;;;;;;;
5;106;CONRADO MATSUMOTO (MS) Can Am Maverick R Cotton Racing;01:33:29.32 (4);01:58:28.11 (5);03:57:44.43;03:31:57.43 00:01:24.88 00:00:06.89;(2)UTU;* * * 00:25:47.00;;;;;;;;;;
6;135;ANDRE HORT (SC) Can Am Maverick R Mh Racing / Cotton Racing;01:34:48.33 (7);01:59:47.07 (8);03:59:57.40;03:34:35.40 00:04:02.85 00:02:37.97;(3)UTU;* * * 00:25:22.00;;;;;;;;;;
7;123;GUILHERME CAIO (SP) Can Am Maverick R Cotton Racing;01:35:09.93 (8);02:00:28.28 (10);04:00:18.21;03:35:38.21 00:05:05.66 00:01:02.81;(3)UT1;* * * 00:24:40.00;;;;;;;;;;
8;131;MARCOS MIOTTO (SP) Can Am Maverick R Dust Rally Team;01:35:51.01 (11);01:59:59.96 (9);04:02:24.97;03:35:50.97 00:05:18.42 00:00:12.76;(4)UTU;* * * 00:26:34.00;;;;;;;;;;
9;142;TOMAS LUZA (BA) Can Am Maverick X3 Cotton Racing;01:37:40.69 (21);01:58:24.43 (4);04:01:34.12;03:36:05.12 00:05:32.57 00:00:14.15;(5)UTU;* * * 00:25:29.00;;;;;;;;;;
;;;;;;;;;23;126;ALBERTO CASTRO (BA) ERINALDO BENTO (BA) - C3 Racing;(3)U55;01:40:53.93 (28);02:08:48.59 (26);04:09:50.52;00:03:18.00 00:23:26.00;03:49:42.52 00:19:09.97 00:00:53.74;
;;;;;;;;;24;145;DANIEL GONCALVES (SP) - Caca Leguas;(1)U50;01:44:01.66 (34);02:06:10.45 (22);04:11:43.11;00:04:00.00 00:25:31.00;03:50:12.11 00:19:39.56 00:00:29.59;
;;;;;;;;;25;132;JOAO PEDRO FRANCIOSI (BA) Can Am Maverick X3 Cotton Racing;(7)UTU;01:36:35.99 (15);02:13:52.58 (28);04:17:38.57;* * * 00:27:10.00;03:50:28.57 00:19:56.02 00:00:16.46;
;;;;;;;;;26;143;RICARDO SANTOS (SP) AMANDA DONIZETTI (SP) - Hps Racing;(4)UDB;01:41:31.99 (30);02:14:10.20 (29);04:19:52.19;* * * 00:24:10.00;03:55:42.19 00:25:09.64 00:05:13.62;
;;;;;;;;;27;115;ALLAN OLIVEIRA (SE) Polaris Rzr Pro R Avant Polaris;(3)UT2;01:37:03.43 (18);02:23:25.37 (34);04:20:03.80;00:05:39.00 00:25:14.00;04:00:28.80 00:29:56.25 00:04:46.61;
;;;;;;;;;28;141;JEFFERSON HOFFMAN (RS) Polaris Rzr Pro R Cotton Racing;(4)UT3;01:44:43.00 (35);02:17:55.24 (32);04:21:27.24;00:03:36.00 00:22:25.00;04:02:38.24 00:32:05.69 00:02:09.44;
;;;;;;;;;29;150;DIEGO SANTOS (PR) Polaris Rzr Pro R Utv Motorsports;(5)UT3;02:03:46.25 (37);02:19:10.94 (33);04:22:54.19;00:20:27.00 00:20:24.00;04:22:57.19 00:52:24.64 00:20:18.95;
;;;;;;;;;30;138;JOSE SAWAYA (SP) Can Am Maverick R Cotton Racing;(4)U55;02:06:48.71 (38);02:17:16.71 (31);04:29:06.42;* * * 00:05:01.00;04:24:05.42 00:53:32.87 00:01:08.23;
;;;;;;;;;31;151;CRISTIANO DE CAMARGO (SP) - Ng Racing;(2)U50;01:36:36.83 (16);02:49:09.95 (36);04:29:38.78;00:23:10.00 00:27:02.00;04:25:46.78 00:55:14.23 00:01:41.36;
;;;;;;;;;32;110;PEDRO MAC DOWELL (SP) DANIEL SPOLIDORIO (SP) Polaris Rzr Pro R Qi Racing;(5)UDB;02:35:22.94 (40);02:00:43.29 (11);05:01:17.23;* * * 00:25:11.00;04:36:06.23 01:05:33.68 00:10:19.45;
