# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-D4-Acumulado-UTV_Geral-RN25-v1.pdf
# INFO_GERAL: XXVII RALLY RN 1500 11/04/2025 - 20:01:41 | Campeonato Brasileiro de Rally Raid 2025 Resultados Oficiais | ACUMULADO ATÉ DIA 4: Currais Novos/RN - Sao Miguel do Gostoso/RN (834.82km) Geral UTV | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;DIA 4;PENAL BONUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10;COL_11;COL_12
1;103;BRUNO VARELA ARI FIUZA Can-Am Maverick R Varela Can-Am Monster Energy Rally Team;03:22:50.76 (1);03:38:35.37 (1);02:39:09.14 (3);13:55:36.54;12:19:48.54;(1)UTU;02:39:13.27 (4);* * * 01:35:48.00;;;;;;;;;;;;
2;101;DENISIO DO NASCIMENTO GUNNAR DUMS Can-Am Maverick R Bompack Racing;03:24:56.96 (2);03:40:47.30 (3);02:36:06.70 (1);14:05:19.80;12:27:52.80 00:08:04.26;(2)UTU;02:46:01.84 (18);* * * 01:37:27.00;;;;;;;;;;;;
3;102;RODRIGO VARELA MATHEUS MAZZEI Can-Am Maverick R Varela Can-Am Monster Energy Rally Team;03:29:32.95 (12);03:39:48.14 (2);02:56:52.69 (38);14:11:17.62;12:41:24.62 00:21:36.08 00:13:31.82;(3)UTU;02:35:10.84 (1);* * * 01:29:53.00;;;;;;;;;;;;
;;;;;;;;;;;39;121;FELIPE FRAGA BRENO REZENDE Can-Am Maverick R Dango Racing;(11)UTU;03:30:43.63 (14);03:42:09.43 (4);07:55:00.00 (58);02:38:43.28 (2);15:30:36.34;03:45:00.00 01:29:00.00;17:46:36.34 05:26:47.80 00:21:09.33;
;;;;;;;;;;;40;140;ISAAC AGUIAR WESCLEY DUTRA Can-Am Maverick X3 Bontrack Utv;(6)UT2;08:20:00.00 (59);03:48:09.85 (19);02:46:23.02 (20);02:58:06.80 (43);16:20:14.67;03:00:00.00 01:27:35.00;17:52:39.67 05:32:51.13 00:06:03.33;
;;;;;;;;;;;41;141;JOSE ALFEU LINCOLN DIEGO Can-Am Maverick X3 Blackbird Rally Team;(7)UT3;04:25:45.51 (57);08:00:00.00 (60);02:55:38.95 (37);02:51:00.55 (30);16:39:08.01;03:01:18.00 01:28:01.00;18:12:25.01 05:52:36.47 00:19:45.34;
;;;;;;;;;;;42;146;LEONARDO SELVA ANTONIO SOUZA NETO Can-Am Maverick X3 Box Adventure;(2)U55;08:20:00.00 (59);04:15:19.43 (54);02:50:21.87 (24);02:56:18.31 (39);16:49:51.61;03:00:00.00 01:27:52.00;18:21:59.61 06:02:11.07 00:09:34.60;
;;;;;;;;;;;43;172;JOAO DIAS MARIO OURIVES Can-Am Maverick X3 Gugelmin Racing;(6)UT1;09:05:00.00 (63);03:49:55.14 (27);02:43:08.20 (10);02:45:53.48 (17);16:10:35.82;03:45:00.00 01:31:39.00;18:23:56.82 06:04:08.28 00:01:57.21;
;;;;;;;;;;;44;162;FERNANDO PARAISO THIAGO FEITOSA Can-Am Maverick X3 Prorally;(3)U55;08:20:00.00 (59);04:01:05.83 (45);02:59:54.25 (44);03:03:35.59 (47);16:50:03.67;03:00:00.00 01:25:28.00;18:24:35.67 06:04:47.13 00:00:38.85;
;;;;;;;;;;;45;157;FABIO BEAL OSMAR DE MENDONCA JR Can-Am Maverick X3 Four Rally Team;(8)UT3;03:34:06.98 (22);03:59:42.37 (43);07:55:00.00 (58);02:56:01.32 (37);16:04:49.67;03:47:18.00 01:27:17.00;18:24:50.67 06:05:02.13 00:00:15.00;
;;;;;;;;;;;46;133;YGOR MOURA ARTHUR CARNEIRO Can-Am Maverick R Varela Can-Am Monster Energy Rally Team;(3)U50;09:05:00.00 (63);03:55:27.37 (38);02:53:26.76 (32);02:56:58.32 (40);16:35:53.45;03:45:00.00 01:30:01.00;18:50:52.45 06:31:03.91 00:26:01.78;
;;;;;;;;;;;47;154;MARCELO ROMCY WILLIAN SANTOS Can-Am Maverick R Caca Leguas;(10)UOP;03:38:44.37 (36);09:30:00.00 (64);02:55:04.41 (36);02:50:43.13 (28);15:52:35.91;04:30:00.00 01:28:04.00;18:54:31.91 06:34:43.37 00:03:39.46;
;;;;;;;;;;;48;150;TOMAZ DOS SANTOS TULIO TANIGUCHI Can-Am Maverick X3 Hps Racing;(4)U55;03:59:24.58 (52);04:06:34.55 (48);07:55:00.00 (58);02:57:35.41 (41);16:40:29.54;03:46:09.00 01:28:04.00;18:58:34.54 06:38:45.10 00:04:02.63;
;;;;;;;;;;;49;134;RODRIGO VILHENA PAULO MEDINA Can-Am Maverick R Dango Racing;(7)UT1;03:41:36.99 (41);09:30:00.00 (64);02:57:05.41 (39);02:53:11.85 (33);15:59:49.25;04:30:00.00 01:27:55.00;19:01:54.25 06:42:05.71 00:03:19.71;
;;;;;;;;;;;50;127;BRENO FERREIRA NICOLAS BOLLERO Can-Am Maverick R Dango Racing;(12)UTU;03:39:51.26 (38);03:57:22.85 (42);08:40:00.00 (64);02:47:47.60 (21);16:03:57.71;04:30:00.00 01:28:56.00;19:05:01.71 06:45:13.17 00:03:07.46;
