# EVENTO: VII RALLY POEIRA
# CAMPEONATO: Acumulado até Dia 2: Igaracu do Tiete/SP (170,38 km)
# RELATORIO: Resultados Oficiais - 10/11/2025 - 19:55
# DATA_EMISSAO: Acumulado - Geral Motos
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

NUM;PILOTO_INFO;CAT;DIA 1 (POS) 64.36 KM;DIA 2 (POS) 106.02 KM;POS GERAL;COLUNA_4;COLUNA_5;COLUNA_6;COLUNA_11;TEMPO TOTAL DIF.LÍDER DIF. ANTERIOR;COLUNA_13;PENAL
22;"GUILHERME BISSOTTO (BA)
Yamaha WR 450F
Blu Cru";MT1 (1°);"00:40:38.91
(1°)";"01:23:24.41
(1°)";1⁰;;;;;;;
1;"FRANCINE ROSSI (MG)
Gas Gas 500F
Multi Racing";MOV (1°);"00:43:41.42
(3°)";"01:30:21.27
(4°)";3⁰;;;;;"02:14:02.69
+09:59.37
+08:45.09";;"02:14:02.69
* * *
* * *"
11;"ANDRES SUAREZ (SP)
Husqvarna FE501
Bianchini Rally Team";MT2 (2°);"00:48:13.85
(6°)";"01:34:27.25
(5°)";5⁰;;;;;"02:22:41.10
+18:37.78
+06:19.25";;"02:22:41.10
* * *
* * *"
14;"LUIZ HENRIQUE (SP)
Honda CRF 450X
Spot Racing";MT3 (3°);"00:49:46.23
(9°)";"01:34:35.16
(6°)";7⁰;;;;;"02:24:21.39
+20:18.07
+01:16.57";;"02:24:21.39
* * *
* * *"
16;"MARCIO PAOLO (SP)
Gas Gas EC 500F
Multi Racing";MT2 (3°);"00:49:46.06
(8°)";"01:36:14.00
(9°)";9⁰;;;;;"02:26:00.06
+21:56.74
+01:23.85";;"02:26:00.06
* * *
* * *"
13;"RICARDO NASCIMENTO (SP)
Gas Gas EC 450
Multi Racing";;MT3 (4°);"00:56:41.93
(12°)";11⁰;;;;"02:46:05.37
* * *
* * *";;;"01:49:23.44
(12°)"
35;"RODRIGO ESPINHA (SP)
Kawasaki KLX 300
Lmt / Honda Motofield";;MBR (3°);"01:04:57.77
(14°)";13⁰;;;;"03:06:12.14
* * *
* * *";;;"02:01:14.37
(13°)"
32;"PLINIO ALBUQUERQUE (PE)
Kawasaki KX 450X
Gc Rally Team";;MOV (3°);"00:53:57.66
(10°)";15⁰;;;;"03:23:57.66
03:00:00
* * *";;;"02:30:00.00
(15°)"
27;"IZAC ANDRADE (SP)
Honda CRF 250
Dust Rally Team";;MBR (5°);"01:40:00.00
(17°)";17⁰;;;;"04:10:00.00
07:00:00
* * *";;;"02:30:00.00
(17°)"
